,Unnamed: 0,Name,Gender,Time,Text
35,35,Speaker 4,F,00:14:07,adapt change lifestyle thing easily domestic chore putting garbage thing adapt find carry causing distress worry simple thing son law son law grandson moved top shelf middle shelf kitchen cupboard shrunk bit reach top anymore put put
36,36,Speaker 4,F,00:14:55,time adapt find
37,37,Speaker 6,F,00:15:27,careful walking stair
38,38,Speaker 6,F,00:15:49,pure nativism hated house forgot hard hard enthusiastic day laugh
39,39,Speaker 4,F,00:16:02,soul destroying
40,40,Speaker 1,F,00:16:05,
41,41,Speaker 4,F,00:16:06,house work
42,42,Speaker 3,F,00:16:07,hate people
43,43,Speaker 1,F,00:16:16,
44,44,Speaker 4,F,00:16:18,missing family grand child thing visual
45,45,Speaker 3,F,00:16:27,people unable child grand child family live basically
46,46,Speaker 4,F,00:16:40,week grand son rang breakfast today lucky mine plymouth
47,47,Speaker 4,F,00:16:52,travel malta son comfortable
48,48,Speaker 4,F,00:17:02,family plymouth family child school stuff activity travel
49,49,Speaker 6,F,00:17:20,challenge older 10 11 year travelling canada year long family covid frame frame performed school tested student 10 half hour long older bit daunting mm hmm older
50,50,Speaker 4,F,00:18:02,obstacle
51,51,Speaker 5,F,00:18:07,effort
52,52,Speaker 6,F,00:18:12,overthink thing
53,53,Speaker 3,F,00:18:14,covid mine long time
54,54,Speaker 7,M,00:18:25,airport put case stop bark
55,55,Speaker 5,F,00:18:46,volunteer home blind back keeping mind active crossword morning mind active important
56,56,Speaker 7,M,00:19:16,gardening
57,57,Speaker 4,F,00:19:17,plenty plant gardener gardener bit
58,58,Speaker 7,M,00:19:31,fine plant landed upside
59,59,Speaker 4,F,00:19:47,
60,60,Speaker 1,F,00:20:41,mind physical exercise swimming
61,61,Speaker 2,F,00:20:54,back exercise section cope dancing taichi exercise
62,62,Speaker 4,F,00:21:06,important family friend
63,63,Speaker 1,F,00:21:09,socialising socialising activity mind
64,64,Speaker 2,F,00:21:16,people bit helping hand
65,65,Speaker 3,F,00:21:21,thing important mind physical socialising
66,66,Speaker 4,F,00:21:48,social interaction important
67,67,Speaker 1,F,00:21:59,grandson friend friend sort problem man working elderly walk stopped walk
68,68,Speaker 1,F,00:22:20,sad
69,69,Speaker 7,M,00:22:38,bit negative serene
70,70,Speaker 3,F,00:22:53,helping ca
71,71,Speaker 1,F,00:22:57,wow encourage
72,72,Speaker 7,M,00:23:00,chair sit fresh air man today afraid falling guy fell time
73,73,Speaker 6,F,00:23:21,ache pain sympathetic ear arm
74,74,Speaker 7,M,00:23:29,touch people
75,75,Speaker 1,F,00:23:33,trouble bothered
76,76,Speaker 3,F,00:23:46,time life give encourage
77,77,Speaker 7,M,00:24:00,independent marine independent helping people needed
78,78,Speaker 4,F,00:24:11,hard accept bother people worse
79,79,Speaker 5,F,00:40:46,technology italy scammed worry thing scamming
80,80,Speaker 3,F,00:40:52,problem technology teach elderly people friend umm join zoom meeting face talk technology problem
81,81,Speaker 3,F,00:41:35,teaching downloaded zoom showed work clue worked
82,82,Speaker 5,F,00:41:52,explain work simple term jargon patience slowly couple time company phone company ee run workshop teach people place
83,83,Speaker 1,F,00:42:29,technology good careful safe thing priority time
84,84,Speaker 6,F,00:42:55,increasing pressure spend money computer bank computer eventually refuse
85,85,Speaker 6,F,00:43:06,computer refuse end doodies bed
86,86,Speaker 5,F,00:43:17,make sad technology hear people woman sucked men money laugh true true
87,87,Speaker 7,M,00:43:30,work
88,88,Speaker 5,F,00:43:32,loosing mind age 28 year man fancy
89,89,Speaker 7,M,00:43:46,laugh
90,90,Speaker 5,F,00:43:53,20
91,91,Speaker 4,F,00:43:58,put picture laugh
92,92,Speaker 5,F,00:44:03,laughing put photo laugh
93,93,Speaker 3,F,00:44:28,phone phone company phone number menu press press press number person menu time frustrating hang
94,94,Speaker 3,F,00:44:54,frustrated message patience laugh important answer phone
95,95,Speaker 7,M,00:45:03,commonly call gp difficult talk gp end terrible menu
96,96,Speaker 3,F,00:45:14,lot people contact doctor hanging hanging 30 35 minute common receptionist gp phone back sat phone day waiting call job call back square lot older people issue helped give end
97,97,Speaker 1,F,00:45:58,hard people older mm hmm changing money wise covid helped people cash accepting cash card bank organise thing lot people older people work card find hard cash machine remember
98,98,Speaker 5,F,00:46:37,giving card carers coming shopping give card pin number
99,99,Speaker 5,F,00:46:52,year ago pension book money due date safe give carer draw money give card pin number accept lot 50
100,100,Speaker 5,F,00:47:16,end food shopping
101,101,Speaker 4,F,00:47:21,relevant agree bank statement online sense peruse carefully
102,102,Speaker 4,F,00:47:32,friend mine joe drew lived specific holiday cleaning girl money coming
103,103,Speaker 4,F,00:47:53,realise money spent
104,104,Speaker 4,F,00:47:58,
105,105,Speaker 4,F,00:47:59,panel change back
106,106,Speaker 4,F,00:48:01,
107,107,Speaker 4,F,00:48:11,living home live fourth floor upstairs day future find difficult fine moment mm hmm huffed puffed day difficult eventually
108,108,Speaker 5,F,00:48:38,move property younger ahead 20 year stair walk hill don
109,109,Speaker 4,F,00:48:52,bath bath lot people share future thinking bath sort thing picture door step step big problem handrail apparatus handrail good shining floor rug trapped
110,110,Speaker 5,F,00:49:29,lot adaptation property stay safer older people living longer long waiting list time top list adaptation longer suitable
111,111,Speaker 1,F,00:49:55,notice husband older remove matter front fire base trip hazard
112,112,Speaker 1,F,00:50:18,helpful helpful bungalow flat stair upstairs
113,113,Speaker 4,F,00:50:39,lift asked
114,114,Speaker 5,F,00:50:45,advance written possibility put
115,115,Speaker 5,F,00:52:40,dancing morning wake clock plympton live barbican thing
116,116,Speaker 5,F,00:52:59,half class hoe hoe nice
117,117,Speaker 3,F,00:53:23,sea wonderful
118,118,Speaker 1,F,00:53:25,nice park place walk sea nice beautiful accessible
119,119,Speaker 6,F,00:53:39,thnk nowadays important walk bit dangerous walking love walk walk
120,120,Speaker 4,F,00:54:00,night
121,121,Speaker 3,F,00:54:06,jamie jean walk nice thing true
122,122,Speaker 5,F,00:54:36,flat plymouth laugh plymouth hilliest place
123,123,Speaker 1,F,00:54:37,reason live long walk hill
124,124,Speaker 3,F,00:55:00,pavement full share terrible loss easily fall
125,125,Speaker 7,M,00:55:11,danger crime crime lot
126,126,Speaker 3,F,00:55:24,kerb cruel sochi lady night ground laugh
127,127,Speaker 5,F,00:55:33,put laugh
128,128,Speaker 1,F,00:55:42,thing put older person working anymore thing dancing swimming exercising lecture news find walk created health reason people health reason walk walk park sociable lot thankful felt found lost laugh make sort thing
129,129,Speaker 5,F,00:56:42,lockdown
130,130,Speaker 5,F,00:56:59,motivation enjoying lot people motivation city join lot long hurt feel confidence catch bus walk road buddy system buddy doorstep join mm hmm group outgoing make special lockdown thing communicating people don feel effort speak buddy system mm hmm
131,131,Speaker 2,F,00:58:07,hazel bless meeting ll ll whisper ear word invite join grab
132,132,Speaker 3,F,00:58:26,colin making move
133,133,Speaker 2,F,00:58:28,george hmm park morning
134,134,Speaker 5,F,00:58:36,
135,135,Speaker 3,F,00:58:39,test suddenly looked corner eye wobbling leg ninety bless tuesday thought god looked switching puffer brought state book round round extra bit lot showed test
136,136,Speaker 3,F,00:59:12,kind push bit give
137,137,Speaker 1,F,00:59:21,coffee morning
138,138,Speaker 5,F,00:59:24,bbut coffee morning pub
139,139,Speaker 2,F,00:59:40,spend lot time messenger spending time
140,140,Speaker 6,F,00:59:47,message people linked facebook facebook messenger message message whatsapp whatsapp
141,141,Speaker 2,F,01:00:04,whatsapp facebook
142,142,Speaker 5,F,01:00:06,missing facebook
143,143,Speaker 1,F,01:00:09,aware thing fossil forest ocean fishing palm oil thing sharing people understand people fed fact life climate change big thing
144,144,Speaker 6,F,01:00:37,argument lot sign bottom donate donate donate online
145,145,Speaker 1,F,01:02:22,stay accommodation
146,146,Speaker 3,F,01:02:29,public transport access accessible public transport
147,147,Speaker 5,F,01:02:44,public transport called access plymouth people register book trip taichi public transport book access plymouth pick drop pick home register register small fee register advance book give couple day notice small fee built end month thing book shopping thing run volunteer driver helpful
148,148,Speaker 5,F,01:04:18,car mini car minibus wheelchair user afraid car
149,149,Speaker 5,F,01:04:42,lot people live centrally live derriford live plymstock life centrally rent transport public transport
150,150,Speaker 7,M,01:04:58,taxi today community aim begin
151,151,Speaker 5,F,01:05:01,lost laugh
152,152,Speaker 7,M,01:05:03,taxi human error
153,153,Speaker 3,F,01:05:25,couple thing pick thing
154,154,Speaker 3,F,01:05:56,positive negative
155,155,Speaker 1,F,01:06:04,transportation positive messenger isn
156,156,Speaker 5,F,01:06:10,access nature
157,157,Speaker 2,F,01:06:12,access nature blessing
158,158,Speaker 4,F,01:06:14,count don involvement
159,159,Speaker 3,F,01:06:25,environment live access nature
160,160,Speaker 1,F,01:06:28,necessarily side inside inside environment suppose access nature
161,161,Speaker 1,F,01:07:21,stair stair big negative
162,162,Speaker 2,F,01:07:28,technology
163,163,Speaker 1,F,01:07:30,positive
164,164,Speaker 2,F,01:07:35,hard step
165,165,Speaker 4,F,01:08:05,flat lift
166,166,Speaker 2,F,01:08:17,move difficult move
167,167,Speaker 1,F,01:08:51,stair technology trip over pavement negative thing trip people fall street
168,168,Speaker 5,F,01:09:44,thing internal environment live suitable moved suitable property adapted suitably moving property living older stuff loft elsedo laugh
169,169,Speaker 8,M,01:10:49,difficult
170,170,Speaker 1,F,01:10:55,safe environment messenger
171,171,Speaker 1,F,01:11:07,inclusive whatsapp close shark snapchat snapchat
172,172,Speaker 2,F,01:11:18,sensitive
173,173,Speaker 8,M,01:11:24,technology stair trip hazard
174,174,Speaker 3,F,01:11:56,observation frustrated
175,175,Speaker 4,F,01:12:40,upstairs accessible room
176,176,Speaker 3,F,01:12:49,agree focus penny talking move move move start finding friend thing
177,177,Speaker 6,F,01:13:16,
178,178,Speaker 4,F,01:14:02,air quality bad air quality
179,179,Speaker 4,F,01:14:23,drive car time
180,180,Speaker 3,F,01:16:18,negative
181,181,Speaker 1,F,01:16:21,attitude
182,182,Speaker 1,F,01:16:23,appears talking night
183,183,Speaker 5,F,01:16:55,taichi attached called elder tree people home thing befriended befriended commune attitude gordon shopping
184,184,Speaker 5,F,01:17:14,good elder tree gordon shopping sort thing
185,185,Speaker 5,F,01:17:36,silver line service older people taxi group plympton
186,186,Speaker 2,F,01:18:49,common thing ageist attitude older people people bothered explaining thing helping bank people bothered older wobbly physical
187,187,Speaker 3,F,01:19:29,notice walk feeling invisible good strange shop assistant called darling love sweetie laugh bit strange feel
188,188,Speaker 1,F,01:20:01,mm hmm negative
189,189,Speaker 3,F,01:20:04,kind kindly offence
190,190,Speaker 2,F,01:20:08,people offended
191,191,Speaker 3,F,01:20:11,sort humped glumped bit slow putting stuff bag upset
192,192,Speaker 5,F,01:20:22,suppose perception older person 18 30
193,193,Speaker 1,F,01:20:28,70 chance
194,194,Speaker 3,F,01:20:42,content life
195,195,Speaker 3,F,01:20:46,30 year
196,196,Speaker 3,F,01:20:51,life nice
197,197,Speaker 5,F,01:20:53,back 30 year divorce back 25 year
198,198,Speaker 2,F,01:21:14,put put put raving glastonbury glastonbury raving
199,199,Speaker 4,F,01:22:54,
200,200,Speaker 1,F,01:23:07,case suppose future mine carrying shopping stair problem delivered bring stair
201,201,Speaker 4,F,01:24:01,taxi driver brings choice shopping
202,202,Speaker 6,F,01:24:18,morrison put big plastic basket bag bring shopping stair
203,203,Speaker 7,M,01:24:32,undesirable people block
204,204,Speaker 5,F,01:24:34,negative delivery
205,205,Speaker 6,F,01:24:57,careful
206,206,Speaker 1,F,01:25:03,make mind
207,207,Speaker 1,F,01:25:24,time hazel bought lift
208,208,Speaker 2,F,01:25:39,family put family positive
209,209,Speaker 4,F,01:25:45,absolutely daughter
210,210,Speaker 5,F,01:26:36,negative depends side side nice side
211,211,Speaker 4,F,01:26:40,good bad
212,212,Speaker 5,F,01:26:59,depends kind property live live block flat neighbour block official flat find couple helpful live busy main road 32 year neighbour side work
213,213,Speaker 4,F,01:27:29,weather bad young man life road upstairs make lovely sweet
214,214,Speaker 1,F,01:27:47,nice
215,215,Speaker 2,F,01:29:05,live fall occasionally big family mm hmm fall rush
216,216,Speaker 2,F,01:29:21,barbican community
217,217,Speaker 6,F,01:29:26,differen wherei live people property live age make negative thing personally kind clumped
218,218,Speaker 1,F,01:29:53,
219,219,Speaker 6,F,01:29:55,younger people working
220,220,Speaker 1,F,01:29:59,playing loud music party
221,221,Speaker 3,F,01:30:02,join laugh
222,222,Speaker 1,F,01:30:04,clock morning negative thing
223,223,Speaker 5,F,01:30:21,morning facebook friend request young georgie remember born make life kid wanted facebook friend laugh bad day born
224,224,Speaker 8,M,01:32:16,delivery delivery service negative bring stair
225,225,Speaker 3,F,01:32:26,technology fact social social justice social social
226,226,Speaker 2,F,01:32:45,easy access thing suppose older stais
227,227,Speaker 1,F,01:33:13,write laugh
228,228,Speaker 1,F,01:33:59,understood robot
229,229,Speaker 2,F,01:34:49,forward
