,Unnamed: 0,Name,Gender,Time,Text
100,100,Speaker 2,M,00:36:44,activities essential to to bath activity shower activity
101,101,Speaker 5,F,00:36:57,session don
102,102,Speaker 2,M,00:37:01,people to enjoy enjoy saving for life fortunate to people hasn people
103,103,Speaker 3,F,00:37:19,with things of important things of things to things to of activities to to middle
104,104,Speaker 3,F,00:37:35,social interactive health included in social stuff
105,105,Speaker 6,F,00:37:47,idea confused lucky to jump on bus town shopping to thinking of reserves with stuff tuesdays to for lunch at church in glenfield make water for walk on road catch bus in town
106,106,Speaker 5,F,00:38:17,important talk in top important things important to good
107,107,Speaker 4,M,00:38:30,transport part of social interaction vital for son copper in launceston to hop on bus door from to tables hop on bus off at tesco in launceston minutes for son collects in car starting to of of tesco naturally
108,108,Speaker 2,M,00:38:59,fortunate car hold beloved for generally road of residents to garden centres taxis waste money on taxis enjoy excuse to important to
109,109,Speaker 5,F,00:39:23,with transport on limited
110,110,Speaker 2,M,00:39:27,
111,111,Speaker 5,F,00:39:28,pretty nifty on off load ramp stuff crashed of south on bus gloss on bus route type of taxi map back to transport huge
112,112,Speaker 2,M,00:39:50,approximation crashed on bus worked with comedy nightclub buses in depot
113,113,Speaker 2,M,00:39:58,burst in crowds in felt felt pressured to put post quiet to to drive reverse parking flashing to side
114,114,Speaker 1,M,00:40:19,picture post
115,115,Speaker 1,M,00:40:24,drive people make off arguments to taxi drivers in plymouth hear started giving lot of off engineering technology made lot typekit people to hit by car
116,116,Speaker 2,M,00:40:48,climate change people to suffer with climate change of climate change electric cars quiet stepped wrong call
117,117,Speaker 6,F,00:41:08,meet to from home
118,118,Speaker 6,F,00:41:17,to guide dogs guide dogs by hear massive
119,119,Speaker 3,F,00:42:11,introduced
120,120,Speaker 5,F,00:42:14,
121,121,Speaker 3,F,00:42:15,
122,122,Speaker 3,F,00:42:16,coming years in place in pines university 50 years ago
123,123,Speaker 3,F,00:42:26,polytechnic to
124,124,Speaker 4,M,00:42:44,complete idiot thing miss driving licence drive lapse living in france belgium of
125,125,Speaker 4,M,00:45:26,driving licence back impossible point insulin dependent diabetic heart bypass cancer medical things account 80 years wait for years to driving licence to make hard to renewed degree problems in country
126,126,Speaker 4,M,00:53:19,of world changed in past 80 years man frightening
127,127,Speaker 5,F,00:53:25,totally
128,128,Speaker 2,M,00:53:29,films robots
129,129,Speaker 4,M,00:53:41,victorian upbringing electric vehicle guests oil lamps wireless
130,130,Speaker 2,M,00:53:53,kind of generation imagine television toddler microwave coming give pause feel give
131,131,Speaker 4,M,00:54:11,wife to room microwave oven
132,132,Speaker 3,F,00:54:16,horrified
133,133,Speaker 2,M,00:54:19,read talk radiation find to happen
134,134,Speaker 3,F,00:54:28,worried coming of blue submarine
135,135,Speaker 4,M,00:54:31,to spent of time in spinning wheel to straight on spinning room
136,136,Speaker 4,M,00:54:41,frankly
137,137,Speaker 2,M,00:54:45,in antique shop in day end of toys spring on bobbing on kids entertainment kid of night year to computer knowledge dyslexia struggle with things retellings to told to finished telling forgotten part to in seventy years idea
138,138,Speaker 2,M,00:55:50,scares to run drive car sitting in car andi control steering wheel moving motorway terrifies to in control
139,139,Speaker 2,M,00:56:09,in at front control
140,140,Speaker 4,M,00:56:18,on docklands light rail drives
141,141,Speaker 2,M,00:56:30,talk planes pilots on plane with pilot
142,142,Speaker 5,F,00:56:39,of cars driverless cars lot wrong with mechanics of computer blame in killed recently
143,143,Speaker 5,F,00:56:53,frighten wi fi
144,144,Speaker 2,M,00:57:02,in left hand drive car drive banging feet on floor to break instinctively driving for long time car of adapted factory to left for accelerator brake for 40 years driving
145,145,Speaker 5,F,00:57:27,on with
146,146,Speaker 2,M,00:57:31,easier thought
147,147,Speaker 5,F,00:57:34,wrote off gearbox
148,148,Speaker 2,M,00:57:37,car in touch with driving school caters for disabled people in car driving in seventy problem driving bad to criticised habits drive driving bit edgy 40 throw tiny car thought to wheelies brake brake too sharp to concentrate on car nissan qashqai sitting in massive extra to driving for couple of weeks nervous on road to of style live main road waiting for traffic to grow gap hit slightly too hard spending to problem
149,149,Speaker 5,F,00:58:53,with drive by swap to process 19 occasionally automatic panicked straight main road stupid nervous make sense with automatic car
150,150,Speaker 5,F,00:59:21,leg suddenly burst life suppose
151,151,Speaker 2,M,00:59:26,pulling automatic changed gear
152,152,Speaker 5,F,00:59:36,face to face to drive
153,153,Speaker 2,M,00:59:40,time drove automatic car adapted standard automatic car concentrated pulled to clutch hit foot brake by windscreen fortunate to seatbelt umm
154,154,Speaker 2,M,01:00:04,on naturally link stink driving in betting in car off with off to manchester in couple of weeks ikea exeter looked bit nervous on a38 driving fast to in manchester times basically
155,155,Speaker 5,F,01:00:43,drive of drive dangerous supposed to drive
156,156,Speaker 2,M,01:00:55,mobility scooter in town lot throw in big free cash flow
157,157,Speaker 1,M,01:01:04,ability scooter things on today
158,158,Speaker 2,M,01:01:17,daily fit to motorbike change finally managed to scooter change off showed sign shop changed to fortunate to
159,159,Speaker 2,M,01:03:28,robot brought cat cat seating on lap to tg to carer describes coming back wanted to buy wanted to buy hundred sixty pounds robot with astro in locked cap wanted to buy to hazel money give money laughs safe to give to eric sort laughs
160,160,Speaker 4,M,01:04:17,bit of dinosaur frightened for future technology advanced too rapidly
161,161,Speaker 2,M,01:04:26,lot of people struggle with put pch big grade with computer courses lot of places on dome to pay to expensive
162,162,Speaker 5,F,01:04:49,people supposed to deliver houses
163,163,Speaker 2,M,01:04:54,felt recently pch felt bit bit too controlling rules change of covid told month lot of desperate to back to coffee mornings bingo afternoon community room kitchen bring coach for tea coffee borrowing cow in courtyard lot carry hot drinks on
164,164,Speaker 5,F,01:05:38,percentage of buildings with thermal cups of to sort of thing bring drink to work honestly manage to shows stuff to find to cardboard trays thinking people
165,165,Speaker 2,M,01:06:09,cup holder clips week wheelchair
166,166,Speaker 5,F,01:06:15,
167,167,Speaker 2,M,01:06:16,with thermal cup thermal cup fit in buy adjust adjust clip on guy thermal cups mine overheat talking to sister night thought thermal cups bring lot of call
168,168,Speaker 2,M,01:07:12,sale in courtyard lot of bring hot drinks suggested put tea coffee in cups bring boiler in courtyard debbie understand
169,169,Speaker 2,M,01:09:28,
170,170,Speaker 5,F,01:09:31,made kitchen wheelchair in house thing in future to to mobility equipment walker space units of dropped lowered sit in wheelchair types of kitchen things oven with dropped door safe for of sliding brilliant socially explain cheap
171,171,Speaker 1,M,01:10:26,understand door
172,172,Speaker 5,F,01:10:29,bake off bake off put oven door disappears underneath slides underneath in front of to to in front of oven book slides on called hide slide
173,173,Speaker 1,M,01:10:50,understand
174,174,Speaker 5,F,01:10:51,excellent for hang on to to move on slides expect on issue thing brilliant for in front in wheelchair too heavy to side kitchen equipment oven simple to easily accessible
175,175,Speaker 5,F,01:11:37,in technology internet stuff kind of sounds awful generations age brought with man wall of rest of older generation today generation older generation longer older generation internet frightened of adapto years on sounds awful generations embrace of
176,176,Speaker 2,M,01:12:21,answerable zoom simpler zoom type of media thing to operating guy runs mention operating successfully technical technology challenge love laughs colleague talking sort of thing to to on to to on to scares scare technology to computers for 22 years scratching surface mails
177,177,Speaker 2,M,01:13:13,fear of unknown read scams basics send emails attachments open emails to important to
178,178,Speaker 5,F,01:13:30,to to meet
179,179,Speaker 2,M,01:13:40,for phone to laptop for years tablet struggle on to home page to friend to bring struggling sort for friend passed feel on feel at loss live of youngest internet for shopping ordering food online fashioned to uh happy with couple of time on make stuck in house to on computers things absorb problem with dyslexia government member
180,180,Speaker 2,M,01:14:57,to at moment helpful people made insane people struggle with
181,181,Speaker 1,M,01:15:08,struggle with
182,182,Speaker 3,F,01:15:10,to give older people to embrace make easier make scary iphones love geek therie technology lucky to friends understand technical wording too difficult make simple wording press number press number fine interface love understand lot of make easy older people people scared of to to embrace technology make dayable makes sense
183,183,Speaker 4,M,01:16:20,people scared by technology including people hazel technology
184,184,Speaker 2,M,01:16:31,good critics
185,185,Speaker 4,M,01:16:33,for to extent on news hundreds hundreds of people losing life savings internet banking
186,186,Speaker 2,M,01:16:46,on news with ebay in southwest 25million stolen scammers in southwest ripped off massive twenty pound of ninety dubious of on to buy rare buying online radiates cover for of residents supposed to to to wanted to looked to point at scene thought recognise company recognise company rang sister tribe from world radiates covers special offers ordered in order company genuine
187,187,Speaker 5,F,01:17:50,find eyes on ebay marvellous tablet 700 for 200 to genuine thing 200
188,188,Speaker 2,M,01:18:02,sounds too good to true
189,189,Speaker 2,M,01:18:30,stairs banisters for bit of banisters to
190,190,Speaker 4,M,01:18:39,handrails stairs for reason to rub bypasses lost energy to colon cancer insulin dependent diabetic sorts of things in hospital organised at rails manage
191,191,Speaker 2,M,01:19:09,stay options
192,192,Speaker 5,F,01:19:12,bars house home to make show for stuff stuff put hand set in hole world design make open to world put hand handrail basic technology
193,193,Speaker 4,M,01:19:47,people pch year found wonderful beast property sort of walls things problem marvellous job charge quarter bathroom coming from maisonette mine spent days with plumbers carpenters
194,194,Speaker 2,M,01:20:15,landlord in associations great to put words helpful pch work for give landlords with grateful to hazel organising quizzes things place to with lot of
195,195,Speaker 5,F,01:21:16,stairless to floor lovely
196,196,Speaker 2,M,01:21:29,in diy big big lift to brilliant lifts stairs
197,197,Speaker 6,F,01:21:46,by house
198,198,Speaker 2,M,01:21:49,external off stair lift external
199,199,Speaker 3,F,01:21:55,thinking to move back to stairs on public footpath uh huh part
200,200,Speaker 5,F,01:22:07,adapt to of future builds in place things adapted to installed
201,201,Speaker 4,M,01:22:27,important to yesterday for gardener day gardens in patch live big area with dust bins in middle in cage to garden to cup of tea coffee wrong
202,202,Speaker 2,M,01:22:47,allowed to stop for tea breaks on official tea breaks
203,203,Speaker 1,M,01:22:56,awesome good
204,204,Speaker 2,M,01:22:58,helpful ranges of caretakers allowed to properties front door communal
205,205,Speaker 1,M,01:23:18,to pick steak morning picking litter at clock wow emptied bins couple of days
206,206,Speaker 2,M,01:23:24,lot of suppose time feel for people to move of environment suitable for
207,207,Speaker 2,M,01:23:48,hard to disabilities health lady in class totally blind coffee morning bingo play bingo for of residents of walton bring back
208,208,Speaker 3,F,01:24:11,to bathroom changed physically to stay worse equipment fitted phrase coming from future group adjust stay to at stage of showering equipment add on stay to showered keeping handles important
209,209,Speaker 3,F,01:25:04,based solely on idea of checked built week hardest part of electric service flamingo perfectly normal worse adjust block put ll thinking ahead
210,210,Speaker 2,M,01:25:28,improvements
211,211,Speaker 3,F,01:25:29,thinking ahead things built put in thinkable bath possibly to put in in case understand
212,212,Speaker 3,F,01:26:00,
213,213,Speaker 5,F,01:26:07,lucky live coming bedroom world for 12 months to reported scaffolding flat for 14 months to with flat blow long time to cure expand sounds expand scaffolding to build separate for stupid scaffolding week to mine removed
214,214,Speaker 5,F,01:27:03,mould black strips
215,215,Speaker 2,M,01:27:07,turn to mould
216,216,Speaker 5,F,01:27:09,severe case damp to coming cladding
217,217,Speaker 3,F,01:27:16,spot too bad to suitable for to stay to put
218,218,Speaker 2,M,01:27:28,affect respiratory system breathe breathing
219,219,Speaker 6,F,01:27:35,pay rent
220,220,Speaker 3,F,01:27:37,flat to on factory housing
221,221,Speaker 2,M,01:27:43,at leaseholder
222,222,Speaker 3,F,01:27:50,uh
223,223,Speaker 2,M,01:27:56,to things rent payer find hard to things
224,224,Speaker 4,M,01:28:10,found difficult to things tend to put in writing write fancy letter to department of pch telephone call
225,225,Speaker 2,M,01:28:21,landlords levels of
226,226,Speaker 4,M,01:28:29,in past week introduced leasehold forum on zoom to personal personal contact leaseholder to discuss problems
227,227,Speaker 2,M,01:28:56,of regular laughs
228,228,Speaker 6,F,01:28:59,absolutely suppose at bus half hour
229,229,Speaker 2,M,01:29:03,thing buses heard lot of complaints from of residents post from town to 25 to barbican hoe
230,230,Speaker 4,M,01:29:15,to fine
231,231,Speaker 2,M,01:29:17,to normal single decker bus in summer in tourist bus tourist bus full regular people live to to doctors at west hoe on bus mm hmm mm hmm of stupid tourist bus on 25 normal service of swapping
232,232,Speaker 6,F,01:29:48,amount of seats on blue buses downstairs
233,233,Speaker 2,M,01:29:50,lot seats
234,234,Speaker 6,F,01:29:54,people to stand seats interesting
235,235,Speaker 2,M,01:30:02,rest town areas areas bus half hour hour
236,236,Speaker 4,M,01:30:15,unlucky metres of front door bus 10 minutes 51 21
237,237,Speaker 5,F,01:30:22,to pepper head kind of
238,238,Speaker 2,M,01:30:38,too red laughs
239,239,Speaker 5,F,01:30:48,
240,240,Speaker 3,F,01:31:31,facilitators accessibility covers accessibility allowing for people gaynor to stay to to things making technology accessible mm hmm fair to barriers inaccessibility to things
241,241,Speaker 3,F,01:32:19,love house future proofed of ageing population
242,242,Speaker 5,F,01:32:33,in place coming back to thing off
243,243,Speaker 6,F,01:32:39,make comment accessibility room astronomical society to meet in room belong to long time to hearing in room
244,244,Speaker 1,M,01:33:00,
245,245,Speaker 5,F,01:33:08,absolutely noticed
246,246,Speaker 6,F,01:33:11,simple people in wearing hearing aids hearing loop hearing loop fix in room difficult put wires room in church people with wearing hearing aids set hearing aid to system hear worth mentioning to university
247,247,Speaker 2,M,01:34:14,problem on face group of people sat talking phone rings talked fact hear too noise people feel stay on phone quiet don hearing aids heard listen
248,248,Speaker 6,F,01:34:47,to in church hearing aids hidden disability wear for service service off
249,249,Speaker 2,M,01:35:03,invisible disability people notice
250,250,Speaker 6,F,01:35:07,lot of patience with usual deaf with blind people
251,251,Speaker 2,M,01:35:16,suppose learnt living live with people hearing aids speak seat on side to make good to bad
252,252,Speaker 6,F,01:35:30,speak slowly finding with telephone companies occasionaly rang blown start slowly
253,253,Speaker 3,F,01:35:41,lucky with phone press on loud
254,254,Speaker 6,F,01:35:49,technology to
255,255,Speaker 2,M,01:38:28,people of iso hearing loop in communal room
256,256,Speaker 3,F,01:38:34,
257,257,Speaker 5,F,01:38:36,physical places to criticism of university live home live door threshold strips mm talkative of kitchen designers to of soapbox too bodied designers designing for disabled people to sit in wheelchair round soapbox today real struggle to find to to in to of cafe cafe to live with
258,258,Speaker 2,M,01:39:35,worry catching leg yesterday worried catching on walking careful careful in wheelchair
259,259,Speaker 5,F,01:39:51,big thing for at factors at for to stay to recently fire brigade threshold to stand gonna happen fighting at minute big issue adapted for ongoing blows inside in issue stairs stuff thought reasonable to adapt to adjust reason to stay to move lucky places to stay in home to of making from part of accessibility in live in makes sense
260,260,Speaker 5,F,01:41:22,working on at minute
261,261,Speaker 4,M,01:41:25,find helpful with cooking in sense
262,262,Speaker 2,M,01:41:38,in hallway in bathroom pendants show wristbands wristband run flat number intercom answer off chair press to speak to person time doors open thought fantastic
263,263,Speaker 5,F,01:42:10,back to care to word to stay problem to comfort rock to fall technology home taught to care home
264,264,Speaker 2,M,01:42:43,people to pay for pocket
265,265,Speaker 5,F,01:42:47,too bad cheap to pay
266,266,Speaker 2,M,01:42:49,in marlborough people in flat
267,267,Speaker 4,M,01:42:56,mm found cooking oven packed bought bought hotpoint cost hundred quid on internet facility find invaluable put grill put timer on switched off previously forgot burnt bacon perfectly minutes switched iself off to carried watching for
268,268,Speaker 5,F,01:43:34,hob ring on hob set timer on off
269,269,Speaker 2,M,01:43:46,alarms off fell asleep on sofa on hob brilliant idea chips in chip pan fryers horrible thing standard chip pan stand by cooker from start to finish fortunate hard for to barriers in front of 20 years
270,270,Speaker 5,F,01:44:24,time put on hob to leave kitchen chance of cliff open perfect remember to grill oven to set to of technology on absolutely of control
271,271,Speaker 2,M,01:44:46,to draw line at low
272,272,Speaker 5,F,01:44:50,hob turned off in time
273,273,Speaker 2,M,01:44:51,manual for to years to give to from air fryer to proper conventional cooker guy timer on running for oven for on download manual for thought
274,274,Speaker 5,F,01:47:31,worse hard times on stopping phone forced wrong to to human live lot of people called service pool call medication to anymore wrong online consult speaking to doctor to to hear people falling sick of huge barrier causing people to to special care mind coming to date doctor place great agencies to realise to on page technology
275,275,Speaker 2,M,01:48:38,relative inclusion to idea to gp service username password in password recognised turn son checked computer computer gp sensor code to doctor needed medication urgently nebuliser mine online to website address to ring open problem technical stuff folks stuff system to ringo to tomorrow love to tomorrow actual person dead by tomorrow feeling unwell life threatening ringing gp to bother neighbours
276,276,Speaker 4,M,01:50:04,thing older safety important moved place bought from centre in union street tumble dryer paid ten quid for home worked on internet suspect to fire ran whirlpool tumble dryer of of risks give serial number weeks bring
277,277,Speaker 2,M,01:50:38,fair laughs
278,278,Speaker 6,F,01:50:39,to ring
279,279,Speaker 5,F,01:50:46,realised word risk
280,280,Speaker 2,M,01:50:50,lot of time to on internet to find phone number happen news bought scooter run from life lloyd chemist to sell
281,281,Speaker 3,F,01:51:53,to follow session guess
