,Name,Gender,Time,Text
91,Speaker 2,M,00:34:07,pope big tv screen state screen completely real bad luck
92,Speaker 4,M,00:34:19,kid bought christmas
93,Speaker 2,M,00:34:22,
94,Speaker 2,M,00:34:24,digital interaction communication important people year scratching surface people wrong computed son work education service practical person
95,Speaker 6,F,00:35:41,thinking care social interaction guess magical care break sort activity social interaction medical financial accessing
96,Speaker 5,F,00:36:11,good
97,Speaker 2,M,00:36:29,people realise care important
98,Speaker 6,F,00:36:35,40 word
99,Speaker 3,F,00:36:41,activity totally
100,Speaker 2,M,00:36:44,activity essential bath activity shower activity
101,Speaker 5,F,00:36:57,session
102,Speaker 2,M,00:37:01,people enjoy enjoy saving life fortunate people hasn people
103,Speaker 3,F,00:37:19,important activity middle
104,Speaker 3,F,00:37:35,social interactive health included social stuff
105,Speaker 6,F,00:37:47,idea confused lucky jump bus town shopping thinking reserve stuff tuesday lunch church glenfield make water walk road catch bus town
106,Speaker 5,F,00:38:17,important talk top important important good
107,Speaker 4,M,00:38:30,transport part social interaction vital son copper launceston hop bus door table hop bus tesco launceston minute son collect car starting tesco naturally
108,Speaker 2,M,00:38:59,fortunate car hold beloved generally road resident garden centre taxi waste money taxi enjoy excuse important
109,Speaker 5,F,00:39:23,transport limited
110,Speaker 2,M,00:39:27,
111,Speaker 5,F,00:39:28,pretty nifty load ramp stuff crashed south bus gloss bus route type taxi map back transport huge
112,Speaker 2,M,00:39:50,approximation crashed bus worked comedy nightclub bus depot
113,Speaker 2,M,00:39:58,burst crowd felt felt pressured post quiet drive reverse parking flashing side
114,Speaker 1,M,00:40:19,picture post
115,Speaker 1,M,00:40:24,drive people make argument taxi driver plymouth hear started giving engineering technology made typekit people hit car
116,Speaker 2,M,00:40:48,climate change people suffer climate change climate change electric car quiet stepped wrong call
117,Speaker 6,F,00:41:08,meet home
118,Speaker 6,F,00:41:17,guide dog guide dog hear massive
119,Speaker 3,F,00:42:11,introduced
120,Speaker 5,F,00:42:14,
121,Speaker 3,F,00:42:15,
122,Speaker 3,F,00:42:16,coming year place pine university 50 year ago
123,Speaker 3,F,00:42:26,polytechnic
124,Speaker 4,M,00:42:44,complete idiot miss driving licence drive lapse living france belgium
125,Speaker 4,M,00:45:26,driving licence back impossible point insulin dependent diabetic heart bypass cancer medical account 80 year wait year driving licence make hard renewed degree problem country
126,Speaker 4,M,00:53:19,world changed past 80 year man frightening
127,Speaker 5,F,00:53:25,totally
128,Speaker 2,M,00:53:29,film robot
129,Speaker 4,M,00:53:41,victorian upbringing electric vehicle guest oil lamp wireless
130,Speaker 2,M,00:53:53,kind generation imagine television toddler microwave coming give pause feel give
131,Speaker 4,M,00:54:11,wife room microwave oven
132,Speaker 3,F,00:54:16,horrified
133,Speaker 2,M,00:54:19,read talk radiation find happen
134,Speaker 3,F,00:54:28,worried coming blue submarine
135,Speaker 4,M,00:54:31,spent time spinning wheel straight spinning room
136,Speaker 4,M,00:54:41,frankly
137,Speaker 2,M,00:54:45,antique shop day end toy spring bobbing kid entertainment kid night year computer knowledge dyslexia struggle retellings told finished telling forgotten part seventy year idea
138,Speaker 2,M,00:55:50,scare run drive car sitting car andi control steering wheel moving motorway terrifies control
139,Speaker 2,M,00:56:09,front control
140,Speaker 4,M,00:56:18,docklands light rail drive
141,Speaker 2,M,00:56:30,talk plane pilot plane pilot
142,Speaker 5,F,00:56:39,car driverless car wrong mechanic computer blame killed recently
143,Speaker 5,F,00:56:53,frighten wi fi
144,Speaker 2,M,00:57:02,left hand drive car drive banging foot floor break instinctively driving long time car adapted factory left accelerator brake 40 year driving
145,Speaker 5,F,00:57:27,
146,Speaker 2,M,00:57:31,easier thought
147,Speaker 5,F,00:57:34,wrote gearbox
148,Speaker 2,M,00:57:37,car touch driving school caters disabled people car driving seventy problem driving bad criticised habit drive driving bit edgy 40 throw tiny car thought wheelies brake brake sharp concentrate car nissan qashqai sitting massive extra driving couple week nervous road style live main road waiting traffic grow gap hit slightly hard spending problem
149,Speaker 5,F,00:58:53,drive swap process 19 occasionally automatic panicked straight main road stupid nervous make sense automatic car
150,Speaker 5,F,00:59:21,leg suddenly burst life suppose
151,Speaker 2,M,00:59:26,pulling automatic changed gear
152,Speaker 5,F,00:59:36,face face drive
153,Speaker 2,M,00:59:40,time drove automatic car adapted standard automatic car concentrated pulled clutch hit foot brake windscreen fortunate seatbelt
154,Speaker 2,M,01:00:04,naturally link stink driving betting car manchester couple week ikea exeter looked bit nervous a38 driving fast manchester time basically
155,Speaker 5,F,01:00:43,drive drive dangerous supposed drive
156,Speaker 2,M,01:00:55,mobility scooter town throw big free cash flow
157,Speaker 1,M,01:01:04,ability scooter today
158,Speaker 2,M,01:01:17,daily fit motorbike change finally managed scooter change showed sign shop changed fortunate
159,Speaker 2,M,01:03:28,robot brought cat cat seating lap tg carer describes coming back wanted buy wanted buy hundred sixty pound robot astro locked cap wanted buy hazel money give money laugh safe give eric sort laugh
160,Speaker 4,M,01:04:17,bit dinosaur frightened future technology advanced rapidly
161,Speaker 2,M,01:04:26,people struggle pch big grade computer place dome pay expensive
162,Speaker 5,F,01:04:49,people supposed deliver house
163,Speaker 2,M,01:04:54,felt recently pch felt bit bit controlling rule change covid told month desperate back coffee morning bingo afternoon community room kitchen bring coach tea coffee borrowing cow courtyard carry hot drink
164,Speaker 5,F,01:05:38,percentage building thermal cup sort bring drink work honestly manage show stuff find cardboard tray thinking people
165,Speaker 2,M,01:06:09,cup holder clip week wheelchair
166,Speaker 5,F,01:06:15,
167,Speaker 2,M,01:06:16,thermal cup thermal cup fit buy adjust adjust clip guy thermal cup mine overheat talking sister night thought thermal cup bring call
168,Speaker 2,M,01:07:12,sale courtyard bring hot drink suggested tea coffee cup bring boiler courtyard debbie understand
169,Speaker 2,M,01:09:28,
170,Speaker 5,F,01:09:31,made kitchen wheelchair house future mobility equipment walker space unit dropped lowered sit wheelchair type kitchen oven dropped door safe sliding brilliant socially explain cheap
171,Speaker 1,M,01:10:26,understand door
172,Speaker 5,F,01:10:29,bake bake oven door disappears underneath slide underneath front front oven book slide called hide slide
173,Speaker 1,M,01:10:50,understand
174,Speaker 5,F,01:10:51,excellent hang move slide expect issue brilliant front wheelchair heavy side kitchen equipment oven simple easily accessible
175,Speaker 5,F,01:11:37,technology internet stuff kind sound awful generation age brought man wall rest older generation today generation older generation longer older generation internet frightened adapto year sound awful generation embrace
176,Speaker 2,M,01:12:21,answerable zoom simpler zoom type medium operating guy run mention operating successfully technical technology challenge love laugh colleague talking sort scare scare technology computer 22 year scratching surface mail
177,Speaker 2,M,01:13:13,fear unknown read scam basic send email attachment open email important
178,Speaker 5,F,01:13:30,meet
179,Speaker 2,M,01:13:40,phone laptop year tablet struggle home page friend bring struggling sort friend passed feel feel loss live youngest internet shopping ordering food online fashioned happy couple time make stuck house computer absorb problem dyslexia government member
180,Speaker 2,M,01:14:57,moment helpful people made insane people struggle
181,Speaker 1,M,01:15:08,struggle
182,Speaker 3,F,01:15:10,give older people embrace make easier make scary iphones love geek therie technology lucky friend understand technical wording difficult make simple wording press number press number fine interface love understand make easy older people people scared embrace technology make dayable make sense
183,Speaker 4,M,01:16:20,people scared technology including people hazel technology
184,Speaker 2,M,01:16:31,good critic
185,Speaker 4,M,01:16:33,extent news hundred hundred people losing life saving internet banking
186,Speaker 2,M,01:16:46,news ebay southwest 25million stolen scammer southwest ripped massive twenty pound ninety dubious buy rare buying online radiates cover resident supposed wanted looked point scene thought recognise company recognise company rang sister tribe world radiates cover special offer ordered order company genuine
187,Speaker 5,F,01:17:50,find eye ebay marvellous tablet 700 200 genuine 200
188,Speaker 2,M,01:18:02,sound good true
189,Speaker 2,M,01:18:30,stair banister bit banister
190,Speaker 4,M,01:18:39,handrail stair reason rub bypass lost energy colon cancer insulin dependent diabetic sort thing hospital organised rail manage
191,Speaker 2,M,01:19:09,stay option
192,Speaker 5,F,01:19:12,bar house home make show stuff stuff hand set hole world design make open world hand handrail basic technology
193,Speaker 4,M,01:19:47,people pch year found wonderful beast property sort wall thing problem marvellous job charge quarter bathroom coming maisonette mine spent day plumber carpenter
194,Speaker 2,M,01:20:15,landlord association great word helpful pch work give landlord grateful hazel organising quiz place
195,Speaker 5,F,01:21:16,stairless floor lovely
196,Speaker 2,M,01:21:29,diy big big lift brilliant lift stair
197,Speaker 6,F,01:21:46,house
198,Speaker 2,M,01:21:49,external stair lift external
199,Speaker 3,F,01:21:55,thinking move back stair public footpath part
200,Speaker 5,F,01:22:07,adapt future build place thing adapted installed
201,Speaker 4,M,01:22:27,important yesterday gardener day garden patch live big area dust bin middle cage garden cup tea coffee wrong
202,Speaker 2,M,01:22:47,allowed stop tea break official tea break
203,Speaker 1,M,01:22:56,awesome good
204,Speaker 2,M,01:22:58,helpful range caretaker allowed property front door communal
205,Speaker 1,M,01:23:18,pick steak morning picking litter clock wow emptied bin couple day
206,Speaker 2,M,01:23:24,suppose time feel people move environment suitable
207,Speaker 2,M,01:23:48,hard disability health lady class totally blind coffee morning bingo play bingo resident walton bring back
208,Speaker 3,F,01:24:11,bathroom changed physically stay worse equipment fitted phrase coming future group adjust stay stage showering equipment add stay showered keeping handle important
209,Speaker 3,F,01:25:04,based solely idea checked built week hardest part electric service flamingo perfectly normal worse adjust block ll thinking ahead
210,Speaker 2,M,01:25:28,improvement
211,Speaker 3,F,01:25:29,thinking ahead built thinkable bath possibly case understand
212,Speaker 3,F,01:26:00,
213,Speaker 5,F,01:26:07,lucky live coming bedroom world 12 month reported scaffolding flat 14 month flat blow long time cure expand sound expand scaffolding build separate stupid scaffolding week mine removed
214,Speaker 5,F,01:27:03,mould black strip
215,Speaker 2,M,01:27:07,turn mould
216,Speaker 5,F,01:27:09,severe case damp coming cladding
217,Speaker 3,F,01:27:16,spot bad suitable stay
218,Speaker 2,M,01:27:28,affect respiratory system breathe breathing
219,Speaker 6,F,01:27:35,pay rent
220,Speaker 3,F,01:27:37,flat factory housing
221,Speaker 2,M,01:27:43,leaseholder
222,Speaker 3,F,01:27:50,
223,Speaker 2,M,01:27:56,rent payer find hard
224,Speaker 4,M,01:28:10,found difficult tend writing write fancy letter department pch telephone call
225,Speaker 2,M,01:28:21,landlord level
226,Speaker 4,M,01:28:29,past week introduced leasehold forum zoom personal personal contact leaseholder discus problem
227,Speaker 2,M,01:28:56,regular laugh
228,Speaker 6,F,01:28:59,absolutely suppose bus half hour
229,Speaker 2,M,01:29:03,bus heard complaint resident post town 25 barbican hoe
230,Speaker 4,M,01:29:15,fine
231,Speaker 2,M,01:29:17,normal single decker bus summer tourist bus tourist bus full regular people live doctor west hoe bus stupid tourist bus 25 normal service swapping
232,Speaker 6,F,01:29:48,amount seat blue bus downstairs
233,Speaker 2,M,01:29:50,seat
234,Speaker 6,F,01:29:54,people stand seat interesting
235,Speaker 2,M,01:30:02,rest town area area bus half hour hour
236,Speaker 4,M,01:30:15,unlucky metre front door bus 10 minute 51 21
237,Speaker 5,F,01:30:22,pepper head kind
238,Speaker 2,M,01:30:38,red laugh
239,Speaker 5,F,01:30:48,
240,Speaker 3,F,01:31:31,facilitator accessibility cover accessibility allowing people gaynor stay making technology accessible fair barrier inaccessibility thing
241,Speaker 3,F,01:32:19,love house future proofed ageing population
242,Speaker 5,F,01:32:33,place coming back
243,Speaker 6,F,01:32:39,make comment accessibility room astronomical society meet room belong long time hearing room
244,Speaker 1,M,01:33:00,
245,Speaker 5,F,01:33:08,absolutely noticed
246,Speaker 6,F,01:33:11,simple people wearing hearing aid hearing loop hearing loop fix room difficult wire room church people wearing hearing aid set hearing aid system hear worth mentioning university
247,Speaker 2,M,01:34:14,problem face group people sat talking phone ring talked fact hear noise people feel stay phone quiet hearing aid heard listen
248,Speaker 6,F,01:34:47,church hearing aid hidden disability wear service service
249,Speaker 2,M,01:35:03,invisible disability people notice
250,Speaker 6,F,01:35:07,patience usual deaf blind people
251,Speaker 2,M,01:35:16,suppose learnt living live people hearing aid speak seat side make good bad
252,Speaker 6,F,01:35:30,speak slowly finding telephone company occasionaly rang blown start slowly
253,Speaker 3,F,01:35:41,lucky phone press loud
254,Speaker 6,F,01:35:49,technology
255,Speaker 2,M,01:38:28,people iso hearing loop communal room
256,Speaker 3,F,01:38:34,
257,Speaker 5,F,01:38:36,physical place criticism university live home live door threshold strip talkative kitchen designer soapbox bodied designer designing disabled people sit wheelchair round soapbox today real struggle find cafe cafe live
258,Speaker 2,M,01:39:35,worry catching leg yesterday worried catching walking careful careful wheelchair
259,Speaker 5,F,01:39:51,big factor stay recently fire brigade threshold stand gonna happen fighting minute big issue adapted ongoing blow inside issue stair stuff thought reasonable adapt adjust reason stay move lucky place stay home making part accessibility live make sense
260,Speaker 5,F,01:41:22,working minute
261,Speaker 4,M,01:41:25,find helpful cooking sense
262,Speaker 2,M,01:41:38,hallway bathroom pendant show wristband wristband run flat number intercom answer chair press speak person time door open thought fantastic
263,Speaker 5,F,01:42:10,back care word stay problem comfort rock fall technology home taught care home
264,Speaker 2,M,01:42:43,people pay pocket
265,Speaker 5,F,01:42:47,bad cheap pay
266,Speaker 2,M,01:42:49,marlborough people flat
267,Speaker 4,M,01:42:56,found cooking oven packed bought bought hotpoint cost hundred quid internet facility find invaluable grill timer switched previously forgot burnt bacon perfectly minute switched iself carried watching
268,Speaker 5,F,01:43:34,hob ring hob set timer
269,Speaker 2,M,01:43:46,alarm fell asleep sofa hob brilliant idea chip chip pan fryer horrible standard chip pan stand cooker start finish fortunate hard barrier front 20 year
270,Speaker 5,F,01:44:24,time hob leave kitchen chance cliff open perfect remember grill oven set technology absolutely control
271,Speaker 2,M,01:44:46,draw line low
272,Speaker 5,F,01:44:50,hob turned time
273,Speaker 2,M,01:44:51,manual year give air fryer proper conventional cooker guy timer running oven download manual thought
274,Speaker 5,F,01:47:31,worse hard time stopping phone forced wrong human live people called service pool call medication anymore wrong online consult speaking doctor hear people falling sick huge barrier causing people special care mind coming date doctor place great agency realise page technology
275,Speaker 2,M,01:48:38,relative inclusion idea gp service username password password recognised turn son checked computer computer gp sensor code doctor needed medication urgently nebuliser mine online website address ring open problem technical stuff folk stuff system ringo tomorrow love tomorrow actual person dead tomorrow feeling unwell life threatening ringing gp bother neighbour
276,Speaker 4,M,01:50:04,older safety important moved place bought centre union street tumble dryer paid ten quid home worked internet suspect fire ran whirlpool tumble dryer risk give serial number week bring
277,Speaker 2,M,01:50:38,fair laugh
278,Speaker 6,F,01:50:39,ring
279,Speaker 5,F,01:50:46,realised word risk
280,Speaker 2,M,01:50:50,time internet find phone number happen news bought scooter run life lloyd chemist sell
281,Speaker 3,F,01:51:53,follow session guess
282,Speaker 1,F,00:04:38,meal kit
283,Speaker 2,F,00:04:46,independence kind bit freedom worked life lived life independently telling understand
284,Speaker 3,F,00:05:04,kid phone
285,Speaker 1,F,00:05:06,sat chair people time
286,Speaker 4,F,00:05:27,live home institutionalised people moved home finaly independent home completely changed home reason stay home
287,Speaker 1,F,00:05:49,people stay longer independently home bit support bit care package coming check necessarily check medication stay longer
288,Speaker 1,F,00:06:20,spooky worked people dementia place safe home made recording daughter voice prompting medication spooky dementia suddenly daughter talking 10 clock night spent hour
289,Speaker 2,F,00:06:49,sensor pad bed set clock morning bed 8 30 prompt laying type physically voice coming adverse effect people
290,Speaker 3,F,00:07:15,found aunt dementia talking phone answering phone people cooking lovely meal drinking wine paid offered meal surprised carer tweaked john lisa cooking saturday morning television television real dig
291,Speaker 4,F,00:08:06,jill dementia
292,Speaker 3,F,00:08:09,diagnosed
293,Speaker 4,F,00:08:11,alzheimer dementia difficult worry robot
294,Speaker 5,F,00:08:30,deviate brain harder
295,Speaker 5,F,00:08:55,walking walking everyday
296,Speaker 4,F,00:09:04,taichi dancing
297,Speaker 4,F,00:09:16,thought hold walking health today
298,Speaker 4,F,00:09:23,dj dancing forget dj dancing racing starting day
299,Speaker 3,F,00:09:31,fresh air fresh expensive matter law live 50 time stage stem
300,Speaker 4,F,00:10:15,taichi older people realise good konw wrong physio physio exercise taichi ample agree good
301,Speaker 4,F,00:10:39,social event exercise social adventure sound lovely
302,Speaker 1,F,00:10:53,shouted poor boy
303,Speaker 4,F,00:10:55,man man laugh lesson
304,Speaker 3,F,00:10:58,nap state
305,Speaker 6,F,00:11:01,
306,Speaker 5,F,00:11:02,taichi gentle exercise chinese china
307,Speaker 4,F,00:11:15,give bouncing ball fan stick
308,Speaker 4,F,00:11:31,reason communication word stranger good morning easy lose power speaking conversation time sharing television set constructive back
309,Speaker 4,F,00:12:01,easy time lose art conversation
310,Speaker 6,F,00:12:07,sit board swimming
311,Speaker 6,F,00:12:14,life centre swimming
312,Speaker 5,F,00:12:20,good easier exercise swimming water
313,Speaker 1,F,00:12:43,walk taichi volunteering back food bank
314,Speaker 3,F,00:13:04,coating footwear care people shoe shoe
315,Speaker 1,F,00:13:49,important mind important
316,Speaker 1,F,00:14:00,puzzle crossword reading medium stuff
317,Speaker 4,F,00:14:07,adapt change lifestyle easily domestic chore putting garbage adapt find carry causing distress worry simple son law son law grandson moved top shelf middle shelf kitchen cupboard shrunk bit reach top anymore
318,Speaker 4,F,00:14:55,time adapt find
319,Speaker 6,F,00:15:27,careful walking stair
320,Speaker 6,F,00:15:49,pure nativism hated house forgot hard hard enthusiastic day laugh
321,Speaker 4,F,00:16:02,soul destroying
322,Speaker 1,F,00:16:05,
323,Speaker 4,F,00:16:06,house work
324,Speaker 3,F,00:16:07,hate people
325,Speaker 1,F,00:16:16,
326,Speaker 4,F,00:16:18,missing family grand child visual
327,Speaker 3,F,00:16:27,people unable child grand child family live basically
328,Speaker 4,F,00:16:40,week grand son rang breakfast today lucky mine plymouth
329,Speaker 4,F,00:16:52,travel malta son comfortable
330,Speaker 4,F,00:17:02,family plymouth family child school stuff activity travel
331,Speaker 6,F,00:17:20,challenge older 10 11 year travelling canada year long family covid frame frame performed school tested student 10 half hour long older bit daunting older
332,Speaker 4,F,00:18:02,obstacle
333,Speaker 5,F,00:18:07,effort
334,Speaker 6,F,00:18:12,overthink thing
335,Speaker 3,F,00:18:14,covid mine long time
336,Speaker 7,M,00:18:25,airport case stop bark
337,Speaker 5,F,00:18:46,volunteer home blind back keeping mind active crossword morning mind active important
338,Speaker 7,M,00:19:16,gardening
339,Speaker 4,F,00:19:17,plenty plant gardener gardener bit
340,Speaker 7,M,00:19:31,fine plant landed upside
341,Speaker 4,F,00:19:47,
342,Speaker 1,F,00:20:41,mind physical exercise swimming
343,Speaker 2,F,00:20:54,back exercise section cope dancing taichi exercise
344,Speaker 4,F,00:21:06,important family friend
345,Speaker 1,F,00:21:09,socialising socialising activity mind
346,Speaker 2,F,00:21:16,people bit helping hand
347,Speaker 3,F,00:21:21,important mind physical socialising
348,Speaker 4,F,00:21:48,social interaction important
349,Speaker 1,F,00:21:59,grandson friend friend sort problem man working elderly walk stopped walk
350,Speaker 1,F,00:22:20,sad
351,Speaker 7,M,00:22:38,bit negative serene
352,Speaker 3,F,00:22:53,helping ca
353,Speaker 1,F,00:22:57,wow encourage
354,Speaker 7,M,00:23:00,chair sit fresh air man today afraid falling guy fell time
355,Speaker 6,F,00:23:21,ache pain sympathetic ear arm
356,Speaker 7,M,00:23:29,touch people
357,Speaker 1,F,00:23:33,trouble bothered
358,Speaker 3,F,00:23:46,time life give encourage
359,Speaker 7,M,00:24:00,independent marine independent helping people needed
360,Speaker 4,F,00:24:11,hard accept bother people worse
361,Speaker 5,F,00:40:46,technology italy scammed worry scamming
362,Speaker 3,F,00:40:52,problem technology teach elderly people friend join zoom meeting face talk technology problem
363,Speaker 3,F,00:41:35,teaching downloaded zoom showed work clue worked
364,Speaker 5,F,00:41:52,explain work simple term jargon patience slowly couple time company phone company ee run workshop teach people place
365,Speaker 1,F,00:42:29,technology good careful safe thing priority time
366,Speaker 6,F,00:42:55,increasing pressure spend money computer bank computer eventually refuse
367,Speaker 6,F,00:43:06,computer refuse end doodies bed
368,Speaker 5,F,00:43:17,make sad technology hear people woman sucked men money laugh true true
369,Speaker 7,M,00:43:30,work
370,Speaker 5,F,00:43:32,loosing mind age 28 year man fancy
371,Speaker 7,M,00:43:46,laugh
372,Speaker 5,F,00:43:53,20
373,Speaker 4,F,00:43:58,picture laugh
374,Speaker 5,F,00:44:03,laughing photo laugh
375,Speaker 3,F,00:44:28,phone phone company phone number menu press press press number person menu time frustrating hang
376,Speaker 3,F,00:44:54,frustrated message patience laugh important answer phone
377,Speaker 7,M,00:45:03,commonly call gp difficult talk gp end terrible menu
378,Speaker 3,F,00:45:14,people contact doctor hanging hanging 30 35 minute common receptionist gp phone back sat phone day waiting call job call back square older people issue helped give end
379,Speaker 1,F,00:45:58,hard people older changing money wise covid helped people cash accepting cash card bank organise thing people older people work card find hard cash machine remember
380,Speaker 5,F,00:46:37,giving card carers coming shopping give card pin number
381,Speaker 5,F,00:46:52,year ago pension book money due date safe give carer draw money give card pin number accept 50
382,Speaker 5,F,00:47:16,end food shopping
383,Speaker 4,F,00:47:21,relevant agree bank statement online sense peruse carefully
384,Speaker 4,F,00:47:32,friend mine joe drew lived specific holiday cleaning girl money coming
385,Speaker 4,F,00:47:53,realise money spent
386,Speaker 4,F,00:47:58,
387,Speaker 4,F,00:47:59,panel change back
