,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
38,"Oh, I see.",0.038333282,0.08540958,0.07531595,0.080066904,0.15629742,0.56457686
39,"Maybe the mobility? Yeah. Mhm. Yeah. Like, moving yourself and also transporting things. So it's more like for mobility. Yeah. Yeah.",0.010680122,0.0017607638,0.0060526747,0.9674574,0.007320106,0.0067289444
40,"Yeah, something like this. I loved the whole knowledge that you guys talked about because this is something that's not exactly physical. It doesn't fit anywhere, but it's just amazing. And I think that that's something we need to think about.",0.16399877,0.06831271,0.204013,0.04652527,0.36321974,0.15393052
41,An information centre.,0.08821294,0.0055474034,0.24247031,0.59763163,0.037658975,0.028478745
42,"Because it's always something you learn like, Oh, I didn't know. But even now in my job and I should know what's out there, mostly. But that's always something I think I've got to know about that.",0.045447577,0.00016244093,0.05328139,0.7200016,0.027774606,0.1533324
43,"They are company, aren't they?",0.027476467,0.010689811,0.039726086,0.103156224,0.5375939,0.28135753
44,something to worry about.,0.058860883,0.0028769616,0.3645839,0.27592927,0.050382406,0.24736655
45,When did she die?,0.022267386,0.046106964,0.2517546,0.055323504,0.24678338,0.37776414
46,Oh yeah. Are you going to get another one?,0.38062933,0.03649343,0.06777425,0.12604706,0.01598748,0.37306845
47,Just take on home.,0.0149036255,0.0022138327,0.010502916,0.78579235,0.04611157,0.1404757
48,"Yeah, it comes with adaptations.",0.037577473,0.010717544,0.23398599,0.36678612,0.034704547,0.31622833
49,"It's a very broad categories, so...",0.006846987,0.012343091,0.03481944,0.21961038,0.08817552,0.6382046
50,"no. It's nice down there, isn't it?",0.02217719,0.007126095,0.047293738,0.13553764,0.112831414,0.6750339
51,Is it a shared table  or something like that? I don't know.,0.010793966,0.0015333515,0.03975647,0.14285445,0.07686774,0.72819406
52,"I was going to say often it's we compared to China you know, where the culture is different, where the elderly are more respected. I mean, we don't live in the same house. Yeah, there is more social connections. Well, in Britain, we've lost a lot of that in the last century, I think.",0.023441244,0.00024210877,0.08250685,0.8719217,0.009516636,0.012371463
53,"It's kind of interesting stuff, you know, you just got to try  once you're older, you know, like, you know, well, maybe somebody younger. Yeah. So maybe not so valued.",0.034727424,0.0023299418,0.30737054,0.5186361,0.105289675,0.03164629
54,You need to put your foot down.,0.43655854,0.12544884,0.16525824,0.015315551,0.07033234,0.18708648
55,"Because it's a big social thing with Facebook and stuff now. Yeah, yeah.",0.0050151264,0.0038206666,0.0055924146,0.28828406,0.018725604,0.6785621
56,"Unless she missed it, you know, because you are told so many things anyway and you can't remember everything.",0.099826165,0.02033403,0.21793623,0.23437907,0.2573154,0.17020911
57,"I'm thinking about social groups as well as clubs, and there is like something holding people back like all that's not for me. Oh, that's not my kind of thing. Well, in fact, if you were to go along with it, make new friends and probably have a laugh. Yeah, and it would be generally, good, good for them. So I think people should be encouraged to do more.",0.008388494,0.028578008,0.09221048,0.8488314,0.007252699,0.014738891
58,"It is creating the family, I suppose, isn't it?",0.08719135,0.012156355,0.19847745,0.21545729,0.24129623,0.24542134
59,Like the TV is a big social friend for people as well.,0.044262994,0.04751929,0.03460529,0.22475357,0.05076532,0.5980935
60,"Whatever people can access, I guess. Yeah, but it's like a friend in the corner, isn't it? yeah. Keep it coming.",0.26856843,0.031284515,0.10910293,0.12708198,0.11427048,0.34969166
61,What was that Gogglebox?,0.058960192,0.05312714,0.10912256,0.047737993,0.07721712,0.653835
62,"When I watch someone, I feel as if I'm there with them, in the chats as it were, so it's like, Oh, they're my friends. So it's kind of like a social contact in a way. Yeah, it's weird.",0.16673078,0.26289353,0.22791521,0.21688278,0.059820767,0.065756924
63,I prefer face to face.,0.14485982,0.024247462,0.5719976,0.056320556,0.053517308,0.14905725
64,"Hmm. I don't know, the interaction isn't as fluid. Yeah, no.",0.008806753,0.0055035776,0.026363572,0.025806801,0.043125417,0.89039385
65,I don't mind it.,0.043433208,0.0067293323,0.47215506,0.110483564,0.08229302,0.2849058
66,"Well, I got some Facebook. I've never would have otherwise.",0.0014416937,0.0011783865,0.0031392127,0.016891452,0.023905547,0.9534437
67,"Because I'm a bit phobic of technology,",0.0017700626,0.00087972695,0.9929124,0.00062507874,0.0011712936,0.002641418
68,What's the topic?,0.07886172,0.027163982,0.16385259,0.05750401,0.072368786,0.60024893
69,Have you got a bar?,0.016952883,0.0028525023,0.0629691,0.2360772,0.039723475,0.64142483
70,"Family is a support, yeah",0.021310402,0.024635972,0.08017852,0.5450586,0.017249495,0.31156698
71,Social Connections.,0.01969664,0.002709736,0.053540025,0.7142599,0.06020034,0.14959334
72,"Yeah, OK. I think technology, TV and social media are the big one.",0.11719851,0.060521875,0.084164605,0.50396544,0.05768911,0.17646049
73,because we I think people watch tons of TV.,0.0651899,0.027242439,0.09451511,0.5231843,0.1171552,0.17271307
74,"What about mental health in terms of if you're going physically going worse, you feel bad in your head. Yes. And then you don't feel like going out to meeting people.",0.029139986,0.0009610999,0.122147314,0.8276194,0.012532017,0.0076002046
75,When we can't be bothered to go to the church. You know what you're feeling?,0.036461752,0.007408481,0.42128944,0.34136733,0.15636182,0.037111178
76,Drugs.,0.0160895,0.018971402,0.057962433,0.32723144,0.32213098,0.25761423
