,Text,Surprise,Angry,Sad,Fear,Happy
11,"Yeah, I have a wheelchair. Yeah, which looks like the standard of the big wheel. Yeah, I have that in my shower room, so I transfer from one wheelchair to another looking out in the shower. I don't like it I would prefer to stand up. I've got bad shoulders and from trying to get the showering 100, you know, and you don't feel like you clean yourself as a proper boy but it is better than a bath. When I lost my leg, I was given one of the chairs a rise and fall from Millbrook. And that was great because then I could just raise myself up turn around the chair and put my feet down. That was from the bath. So I don't know if you've got one of them.",0.13,0.07,0.33,0.27,0.2
12,I've got an ordinary bath,0.0,0.0,0.0,1.0,0.0
13,ride to call when you put it in your bath.,0.0,0.0,1.0,0.0,0.0
14,"Oh no, I got nothing in the bath except the best mate drive",0.5,0.0,0.0,0.5,0.0
15,"Yeah, I didn't know they existed till I got one. Yeah. And I thought. And anybody struggling to get in and out of a bath of bullying about slipping falling in the bath. I mean, say we really, for me, a period in my confidence that started off with a bench going across the bath and I nearly went headfirst into the touch. And so I was at seven. Not we're not going to forget, you know,",0.27,0.09,0.18,0.45,0.0
16,"that period of time where we moved when I moved to now. Most of us got wet rooms. I think there's only one fly out the 34. It's got a bath. And their ideal for us, even if you only want a walking yeah, like I say, I was given that wheel chair just sat on that and it is quite comfy cushions say, you know, it's great.",0.57,0.0,0.0,0.29,0.14
17,Not for me?,0.0,0.0,0.0,0.0,0.0
18,"Yeah, that that bothers me because I have neuropathy means so don't feel heat straight away. Um, when I moved back in, I'm now four years ago, I was in a wheelchair. I'm in my bedroom. Very rarely wore it. Don't do this impression, but the important hello worked for me. I didn't have open air fryer and a small hub that was great while I was in the chair that was worried about leaning forward, bending down to get to the Oven. And even now I can bend down. Sometimes I can lose me balance, so it didn't bother me. And I think as I got older, personally that does concern me. You know, I've I lost me there like that. Be it, then I wouldn't be cooking takeaways. Yeah.",0.06,0.18,0.41,0.24,0.12
19,I like talking!,0.0,0.0,0.0,0.0,0.0
20,"Oh, there will be no look area,.",0.0,0.0,0.0,0.0,0.0
21,"Transport is probably one chance for trying to get in and out because they can't use buses or taxis because I have difficulty trying to get into a door had trouble getting your car, you know? Yeah, and quite tall. Not quite as you bend, I've got back and hip problem. I can't kind of move properly. It's difficult with me. So is transport is a an issue.",0.0,0.4,0.1,0.4,0.1
22,"I'm glad you mentioned that because transport will be the top of my list. And the reason being that as long as I can get on a bus and I can celebrate it in a bus stop, I can see my children and one lives in Launceston. One lives in Woodbridge and two and a half hours on the bus. But the only problem I've got with buses are and get on the bus at the moment and get off. But. I've got a hopefully I can manage without a wee until I get to Bodmin.",0.12,0.12,0.12,0.5,0.12
23,pretty soon because it stops them enough above me for me to get out and have a pea that I've got to tell you this too.,0.0,0.0,0.5,0.0,0.5
24,"Yeah, I've already mentioned we're right. Yeah. You know, I've been since, you know, legally here.",0.0,0.0,0.0,1.0,0.0
25,"It's no, definitely not. But um. I think it's a good way of being in contact with people in families. I know it's nice to be together, but with everything we've gone through, you know, on Zoom or other social media, you can be your messenger through Facebook and it is good you can see your family talking to, you know, um,",0.3,0.0,0.1,0.3,0.3
26,"thinking, Oh yeah.",1.0,0.0,0.0,0.0,0.0
27,"I struggle with it when I thought I had to isolate, because that meant taking early last year was to say isolate for 14 days. I struggled to quell my scooter to try to avoid everybody. Well, no shops open in town show free travel around there, but it can get scary as well. And I think I'm more scared now than it was last year, and I think it's because of the understanding of it about both the Jabs obsessive test yourself twice a week. But we have a great community where we live. We're lucky, we're very lucky, and we all realise that, um, we had nobody had the infection or anything like that, you know, the virus. So and we do sit downstairs. I'm not in the community when we weren't allowed to use that, but it's still sitting in the main entrance. You know, I don't",0.26,0.0,0.11,0.32,0.32
28,"do or out in the courtyard, you know, so we had the communication wasn't too bad for us. But if you look what your own in your own house and I think you're more isolated than I think communication right through technology is in really, you know.",0.43,0.0,0.14,0.43,0.0
29,"When some people can't drive a car, that's how you do notoriety before then. Once you try to ?  During lockdown I was stuck for two years. Yes. We just live in a bedroom and that's it is a shared house for four people. And I wouldn't go see it.",0.0,0.0,0.25,0.75,0.0
30,"And I just don't think even though we've got a community, we do face to face just in our reality now. You know, while they are still things like, do they really, I don't know what we would have done 40 years ago. I really don't, you know, so",0.43,0.0,0.43,0.14,0.0
31,"They've been very good press so of. I mean, I'm not with them, but some the our residents are yeah. And you know, I mean, that struggle. I don't even have to pay for my prescriptions. I got a text message from Boots's chemist because of pain and your prescription is ready for collection and closes the book. The booth came back only 10 minutes, you know? Yeah. So our customer, so we've been lucky like that.",0.17,0.0,0.0,0.17,0.67
32,"But I was with Lloyds in Devonport. Then when I moved, I told my doctor that my prescription is going to Boots. And at the start, I had to keep ringing up, ringing up, getting prescriptions that over now Boots supply for it, for me.",0.0,0.0,0.5,0.5,0.0
33,"We won't now go back four years ago. You know, these are driving where we have all agreed for, you know what I need from when they need it. So, OK, OK.",0.0,0.0,0.0,1.0,0.0
34,"I forgot how my Doctor looks like,.",0.0,1.0,0.0,0.0,0.0
35,"and you know, especially with the chest problem, and it's a bit of a telephone consultation. And when I say it's a consultation, a conversation because you will only be hearing huh huh down the phone ...",0.75,0.0,0.0,0.25,0.0
36,from the phone down and you prevent even breathe.,0.0,0.0,0.0,1.0,0.0
37,"Yeah, I do get annoyed, really, don't you all?",0.5,0.0,0.5,0.0,0.0
38,"Yeah, it is very hard for trying to communicate concretely for people. And I think that's where you get fed up. And I think some people just give up to try to communicate with them. The next thing to get electricity, to know why you're doing this, why are you doing that? And again, people get put under pressure. Well, you know, it's it's horrible. Yeah, it's I'm quite fortunate I do get your scam calls, you know, text messages from my provider BT. And if I'm not sure I ring BT up, you know, saggy pants and stuff like that, you know so well, a lot of people don't know how to do all lot, you know?",0.29,0.14,0.29,0.21,0.07
39,"I read about after quite a lot of our residents doing jobs for them and things like that. It's something in my nature. I would reward myself and I used to work for, Yeah, and I still do it now. You know, that's what keeps me going mentally. You know, without all that I don't know, I'll be there enough income of our party, you know?",0.12,0.0,0.25,0.62,0.0
40,"Yeah, that's it. Yeah.",0.0,0.0,0.0,0.0,0.0
41,"to do something very plausible, the people very and I sometimes tell our residents like I've had this scam call, if you get a scam call or they're asking you to BT again, we say my payment last month hasn't gone through and they take my details. Well, I've checked my bank statement. I know that it was paid, so I didn't have to do anything else. I just blocked the numbers. But they come back with different numbers",0.12,0.0,0.25,0.62,0.0
42,oh they did,0.0,0.0,0.0,0.0,0.0
43,"So it's it's never ended, and I don't think it will stop the way we're going to stop it.",0.0,0.0,0.33,0.67,0.0
44,There is a way for these big companies don't want to.,0.0,1.0,0.0,0.0,0.0
45,"You can't keep. Yes. Yeah. We have agreed to our place doing Taichi every Monday afternoon. I start doing it with them well, so a lot of them, our regulars, that they drifted off along with what your you can't be with the big group and this group called the Barbican legends, which there were a lot around the Barbican. They were coming in, doing this Taichi. It is very good for you.",0.3,0.0,0.3,0.3,0.1
46,"And it's a great way of being able to meet up with people. But at the moment it is not right to do. Um, I think they started it again and",0.25,0.25,0.0,0.25,0.25
47,"Yeah, for now we can't.",0.0,0.0,0.0,0.0,0.0
48,"That's right. Yeah, yeah, yeah. Yeah.",0.0,0.0,0.0,1.0,0.0
49,"So if I can just just go back three spaces. Somebody mentioned television licences. Now there's no getting away from the fact that television is very important to elderly people who are confined to their own home. Yeah, now I'm 82 soon be 83, and I've got a TV licence because they stop the free ones. And this week, for example, I got a message to renew my television licence, and I haven't done so because I got so annoyed that the millions and millions of people have not even done last year's licence. And yet, so I think because it's so important that elderly people have the facility legally to watch television, it ought to be sorted out.",0.22,0.11,0.22,0.11,0.33
50,"Yeah, I get mine to be renewed every year automatically, and I don't know why, because by the people I to.",0.0,0.0,1.0,0.0,0.0
51,"I don't mind paying, but I do expect other people to expect other people to pay.",0.0,0.33,0.0,0.0,0.67
52,"The repeat programmes, you could expect a double bill for your licence.",0.0,0.0,0.0,0.0,1.0
53,"Well, we'll just make one comment on digital communication. I didn't actually comment when it was discussed. I use a zoom, a great deal and sometimes that as many as 400 people can go on Zoom sessions from around the world little corners of the world had never heard of.",0.33,0.0,0.33,0.0,0.33
54,How do I use it?,0.0,0.0,0.0,0.0,0.0
55,"I use it for groups of which I am myself a member and the worldwide groups, and I use it for church activities, which I am a member. And I also use it digitally for communicating with my children with a portal, which is a magic machine. I just make telephone calls by saying to the television, Please ring Harry and Harry's on the television.",0.5,0.0,0.2,0.3,0.0
56,"I also wondered about that one. Well, I'd probably get it for my family. Well.",0.67,0.0,0.0,0.33,0.0
57,"So having said that, I'm not keen on it if I think about it deeply because it really does eliminate social interaction. Person to person, yes. So although I'm spot on a bit of a coward in a way, I use it. But. The back of my head says I don't really agree with this.",0.55,0.0,0.18,0.27,0.0
58,I would say the pope was there on a big TV screen. You can see the state that was behind the screen and completely look like you got real bad luck.,0.14,0.0,0.57,0.14,0.14
59,I only got this because one of my kids bought it for Christmas.,0.0,0.0,0.0,0.0,1.0
60,Yeah.,0.0,0.0,0.0,0.0,0.0
61,"No, I think I said digital interaction. Um, communication is important, but there are still a lot of people that don't have that. They don't want to. You know, I'm. I got it for just over two years, and I'm still scratching the surface with it, um. People come to me and ask me. Because so wrong when we computed hello. No, but your son can work for the education services on I.T., you know? So, um, I'm more a practical person.",0.25,0.12,0.25,0.25,0.12
62,"Do you think that a lot of people think a realise that you know about self-care, that is important",0.5,0.0,0.25,0.0,0.25
63,"same as activities, you know, even though it's essential to you. You know, I've got to have a bath. It's an activity or a shower. You know, it's an activity.",0.0,0.0,1.0,0.0,0.0
64,"People say to me, Always enjoy what you do or enjoy doing what you do. I have got saving for life, and I'm fortunate to have that. Um? Well, so, I've seen people that hasn't, you know, people",0.17,0.0,0.17,0.17,0.5
65,"But I think the transport as a part of social interaction is vital. I mean, for example, I've got a son who's a copper in Launceston. Yeah. Now I'm going to hop on the bus right outside my door. No one from here to those tables that hop on the bus and I get off at Tesco's in Launceston, which is eight minutes for my son, he collects me in the car. Yeah, I'm just starting to get some of the best of Tesco's naturally, but",0.29,0.14,0.0,0.57,0.0
66,"then I'm fortunate I've got a car hold beloved for. I don't know what I do generally road some of the residents around to the garden centres that help yourself, you know, so I've got no taxis but waste money on taxis, you know that. So I enjoy getting out excuse to get out. And so that is important to me.",0.17,0.0,0.33,0.0,0.5
67,"Yes, you are.",0.0,0.0,1.0,0.0,0.0
68,"Yeah, yeah. Is there any approximation when you crashed on the bus I worked with was comedy, a nightclub, three buses in the depot.",0.5,0.0,0.0,0.5,0.0
69,"So I burst in because the crowds in the way that I went because it felt I felt pressured to do that and put the post goes quiet because I do like to use to drive. I do reverse parking and they'll go, Oh, you know, the flashing to the side? Yeah, something out.",0.0,0.0,0.56,0.44,0.0
70,"I don't know his picture post. You can't, you",0.0,0.0,1.0,0.0,0.0
71,"know, it's a self-drive 'cause people make up, they go off, right? And I had two arguments to have taxi drivers in Plymouth but I didn't hear. He started giving me a lot of, you know, doing that and I'll get off an engineering and technology made.You would think a lot about Typekit. I think more people are going to get hit by a car, but yeah,.",0.17,0.08,0.25,0.5,0.0
72,"They are know what you're saying, but it's all about climate change and people have to suffer with climate change and not just because of climate change. Electric cars, like you said, they're very quiet. I've never stepped out looking the wrong way, but you know, you don't ever call me, you know, so there's no",0.8,0.0,0.2,0.0,0.0
73,"But it was a complete idiot or not. One thing I miss is my driving licence and I can't drive. And I just let it lapse, like living in France and Belgium, and I didn't need one because this is I just never one of  ...",0.29,0.14,0.29,0.29,0.0
74,"Yeah, we're getting my driving licence back. It is not impossible that they have a point because I'm insulin dependent diabetic and had four heart bypass. I have cancer twice. They take all these medical things into account. And because you're over 80 years , You wait for years to get your driving licence, which is really going to make it hard to just renewed your degree and wouldn't have any problems in this country.",0.29,0.07,0.21,0.43,0.0
75,"When you think of how the world's changed in the past 80 years, it's just a man. Yeah, and frightening.",0.33,0.0,0.33,0.33,0.0
76,"see these films that come out, you know, robots.",0.0,0.0,0.0,1.0,0.0
77,"But a very Victorian upbringing wouldn't even have electric vehicle guests if that oil lamps, no wireless or anything like that.",0.5,0.0,0.0,0.5,0.0
78,"it's kind of my generation now. You know, I mean, I can't imagine having a television since I was a toddler. But when microwave was coming you give me pause and think that now you feel like I can't give me that one?",0.33,0.0,0.17,0.33,0.17
79,"Well, my wife wouldn't have one she wouldn't use it to get the room microwave oven.",0.0,0.0,0.25,0.75,0.0
80,"Well, I think we read you talk about radiation and not what you think. You find that you know what's going to happen.",0.67,0.0,0.0,0.33,0.0
81,"So I went to my well, I spent most of her time in the spinning wheel to yeah, yeah, straight on the spinning room. And she was very well as well.",0.0,0.0,0.0,1.0,0.0
82,"And frankly, that was",0.0,0.0,1.0,0.0,0.0
83,"in an antique shop in the day and the end of the old toys. You know, and it's just like this spring on it and this little bobbing on it, you know, it was kids entertainment. Then, you know, and then you try and get a kid now like you one of them night that five year old knows how to use a computer about the knowledge. And it's. Oh yes. So I do have dyslexia, you know, so I struggle with things and not very retellings have to be told this is what you've got to do. Something finished telling me I've forgotten the first part. You know, so I don't know what going to be like in seventy years. I've no idea.",0.25,0.08,0.33,0.08,0.25
84,That that scares me. I want to run a self-drive car sitting in a car andI can't control the steering wheel which is moving along the motorway that terrifies me. I like to be in control.,0.0,0.0,1.0,0.0,0.0
85,"Well, we are in a way because we, you know, somebody at the front and control. You know that because that is",0.0,0.0,0.0,0.0,0.0
86,You don't know that on the docklands light rail that drives itself.,0.0,0.33,0.33,0.33,0.0
87,"Yeah. And when you talk about planes without pilots, I mean, I won't even go on a plane anyway, you know, with the pilot",0.0,0.0,0.0,0.0,0.0
88,"If I get in the left hand drive car. Yeah. Even though I know so many drive, you know where I'll be banging my feet on the floor when you go to a break and you just instinctively think you've been driving for a long time. Yeah. And I mean, even get my car out of an adapted factory to be left for the accelerator and the brake, and for 40 years I've been driving.",0.33,0.0,0.11,0.56,0.0
89,It was easier than I thought.,1.0,0.0,0.0,0.0,0.0
90,"What I did before I got the car, I got in touch with a driving school that caters for disabled people. And when I got in the car and I said, Look, I'll be driving this in seventy nine, I said. Now the problem, do not say anything about my driving this bad. Tell me, but I don't want to be criticised, you know, because you have old habits and drive you driving your own way. And I was a bit edgy, $40 a throw, and it was only a tiny little car, you know, and I thought, I'm going to do wheelies and I brake I brake too sharp, so I have to concentrate on that. Then the car got the Nissan Qashqai sitting in there. It looks massive extra to get it. OK, now driving that for a couple of weeks, I was nervous. Is that on the road? Because trying to get out of style where I live onto the main road and I'm waiting for traffic to grow. I've got a gap and I just hit it slightly too hard. We're spending trying to get out, but now no problem.",0.21,0.17,0.17,0.46,0.0
91,"Yeah, I've done that. Come up, take Pulling away the automatic changed gear.",0.0,1.0,0.0,0.0,0.0
92,"it was the first time I drove an automatic car. Not adapted. Yeah, not a standard automatic car wasn't concentrated as it pulled away before it went to the clutch. I hit the foot brake. Yeah, I mean, by the way, through the windscreen fortunate to the seatbelt umm",0.14,0.29,0.0,0.43,0.14
93,"Oh, well, then you go on that. Yeah, it was just  you're naturally link stink when you're driving. In some betting. You can just get in the car. You don't think about anything. You can get and off you go, All right. And again, with all that I'm going off to Manchester in a couple of weeks. Yeah, I've never been further than IKEA Exeter and looked a bit nervous on the A38 driving fast I don't know why. I mean, there's going to be in Manchester I don't know how how many times it's just one go basically.",0.0,0.0,0.31,0.69,0.0
94,"Yeah, well, I've got mobility scooter that I use in town quite a lot you know, but I'll throw in the big free cash flow and.",0.0,0.0,0.67,0.0,0.33
95,I've got an ability scooter as well. Things I don't know. I would have come on that today ...,0.33,0.0,0.33,0.33,0.0
96,"Well, that's it. I've got daily fit to motorbike change. So when I finally managed to keep my scooter outside anyway, I'll change it off. yeah. even if it just showed a sign outside the shop that changed to that, you know? Yes, I've been very fortunate to have the ...",0.0,0.0,0.17,0.5,0.33
97,"The other robot brought was a cat. It was a cat seating on your lap. We have to right be outside TG. This is nine to nine this is not what the carer describes it's coming back...She wanted to buy it. So she wanted to buy it. That was a hundred sixty pounds. Other robot like this you did with Astro came in and said...Well, she locked the cap and she wanted it to buy it. And she says to Hazel I've got the money here and I'll give you the money  laughs it's safe to. They give it to Eric. He can sort it...laughs",0.36,0.0,0.09,0.55,0.0
98,"I know, a bit of a dinosaur. I'm quite frightened for the future over there. Well, I think technology has advanced far too rapidly.",0.33,0.0,0.0,0.67,0.0
99,"Well, I think that's probably where a lot of people struggle with it. Either don't do that and I don't put PCH a big grade with doing the computer courses where they but there's a lot of places on the dome, but you got to pay to go and it can be very expensive. So,.",0.12,0.0,0.62,0.25,0.0
100,"No, no. I mean, I always felt well, not always but recently the PCH felt a bit get a bit too controlling over us now. Yeah. When the rules change because of covid, we don't get told until a month after and we have a lot of us are desperate to get back to the coffee mornings and the bingo afternoon we can use the community room. We can't just use the kitchen. And I said, Well, Bring your coach down for tea and coffee, you know? And I'm borrowing a cow out in the courtyard. Oh, OK. A lot more can carry hot drinks on their own, you know, so they I got so oh, you can't do that.",0.12,0.0,0.71,0.18,0.0
101,"Yeah, right. I've got a cup holder which clips up the week and the wheelchair.",0.0,0.0,0.0,1.0,0.0
102,"And I got it with a thermal cup. So the thermal cup  will fit in there. You can buy them. Usually Because you can adjust, you can adjust the the whole, you know, the the clip on it. Um, whether they want that, I don't know. I mean, if you was a guy, I've got thermal cups mine are that old now. No, they don't overheat that much. Um, but like you said, talking to my sister last night, she said, Well, you know, I thought if we got thermal cups then you can bring it down, a lot of them got what they call them...",0.33,0.0,0.33,0.22,0.11
103,"What we're saying is, you know, like, maybe this was a sale in the courtyard. A lot of them can't bring hot drinks down. I've suggested they put the the tea and the coffee in their own cups bring it down now, Boiler Co in the courtyard. But Debbie said, No, you can't do that. Do that. I don't understand why. Well, yeah.",0.18,0.0,0.64,0.18,0.0
104,I've got about anybody else.,0.0,0.0,0.0,0.0,0.0
105,I didn't quite understand what this door is.,0.0,0.0,0.0,0.0,0.0
106,"Yeah, I understand.",0.0,0.0,0.0,0.0,0.0
107,"answerable now like the zoom. I mean, it might be simpler than the same I've never used zoom We've used a different type of media thing to use, but weren't operating now the guy who runs our mention he was operating it sometimes successfully, sometimes not. It is technical technology challenge if you like, love it laughs. The colleague I'm talking about. Well, it's. That sort of thing, if somebody said to me, Oh, you need to get on to this, you need to get on to that. That scares me. Like you say, it does scare you technology, am I going to be using computers for about 22 years and I'm still just scratching the surface. I can do e-mails.",0.36,0.09,0.09,0.27,0.18
108,"I don't know what it is. I think it's a fear of the unknown. And you read about all the scams. But I mean, I can do the basics. I can send the emails attachments, I can open the emails. So to me, I can do what's important to me. Um.",0.12,0.0,0.25,0.38,0.25
109,"It does for me. You know, like I say, I use my phone to do it. I've got a laptop not used for about three years. I've got a tablet. I get a struggle on that when trying to get onto the home page I need. I used to ask a friend to bring them up, saying I'm struggling come around, he sort everything out for me. I don't see him now. and the other friend that did it. And unfortunately, she passed away. So I feel like I'm on my own now and I feel really at a loss because where I live, I'm probably one of the youngest. You know, so there are some who use the internet, but mainly for shopping or ordering food online. And that's it. No, I don't do that. You know, I'm old fashioned, so I just like to, uh. I'm happy with what I can do But there were a couple of time later on when I make stuck in the house and I need to do more on the computers and things like that, and I just don't absorb it there. I do have a problem with dyslexia, but I know what the government member is.",0.26,0.05,0.32,0.21,0.16
110,"To me at the moment is helpful, but there are people that have made that go insane. It's all. And I think people do struggle with it.",0.4,0.0,0.2,0.2,0.2
111,I struggle with that. Yeah.,0.0,0.0,0.0,0.0,0.0
112,"Maybe some people are scared by technology, including me. Some people are not like Hazel or she doesn't know about technology.",0.0,0.33,0.67,0.0,0.0
113,Not as good as critics.,0.0,0.0,0.0,0.0,1.0
114,"For example, I think it will become to some extent now. We don't see on the news all the hundreds and hundreds of people who are losing their life savings through internet banking. And they are.",0.25,0.0,0.25,0.5,0.0
115,"Yes, I saw on the news with the eBay alone in the southwest, £25million stolen through scammers that we see in the southwest. You know, I've been ripped off. Nothing massive. The first one was about twenty five pound instead of six ninety nine. So I'm very dubious of what I go on to buy anything. And so it's very rare buying if you online, I go radiates cover for one of the residents. I'm supposed to be near to the. He didn't want to do it. He wanted me to do it. Yes, it looked the same. I was getting to the point where I was looking at the scene and I thought, I don't recognise that company name and don't recognise that company name. So I rang up my sister she said tribe from world. Don't do radiates covers, what they do, and you get special offers, so I ordered in that we've got it. So the next one he wants we'll order through the same company because we know it's genuine. Yeah.",0.35,0.05,0.3,0.3,0.0
116,"No. You know, if it sounds too good to be true, then it is.",0.0,0.0,0.0,0.0,1.0
117,Stairs without banisters for me. So especially without was a bit of banisters to.,0.0,0.0,0.0,0.0,0.0
118,"Well, I wouldn't be without my handrails up the stairs now, and I didn't ask for. Oh, I've no reason to rub it down, but about four bypasses I've lost all my energy to having had colon cancer twice an insulin dependent diabetic. All sorts of things. And when I was last in hospital, they certainly organised at all these rails and I couldn't do without them now. But you know, I manage if but they were then and.",0.11,0.33,0.33,0.22,0.0
119,"I couldn't even let me stay and I can't. I've got two options, you know,.",0.0,0.5,0.5,0.0,0.0
120,"and whatever people might say about PCH. I mean, saying this year, but I found the wonderful, Oh yeah, yeah, I'm the beast and I own the property. I don't own the sort of walls and things, but that where I had a problem, they've done marvellous. The job and charge me quarter is because they have taken the bathroom and it was coming from the maisonette above mine and they spent four days with plumbers and carpenters.",0.5,0.14,0.07,0.14,0.14
121,"You yeah, you don't got a landlord. I mean, it is it. I was in associations, you know, as great as I'm going to put it words, which is helpful if you like as PCH. Yeah. And I know what they like. I work for it and now give me landlords, you know, and go with being grateful to like Hazel. Yeah, organising quizzes and things like that. Our place. Um, I mean, I know that's not to do with a lot of this.",0.08,0.08,0.17,0.42,0.25
122,"Yeah, I've seen that in a DIY. Big S.O.S. Big. Yes, I think we've got a lift right goes right through to where he needs it, you know? That's brilliant. So outside lifts, you've got stairs outside haven't you? and you.",0.17,0.0,0.17,0.5,0.17
123,"And you can get these external ones that take you off. It's like a stair's lift, but it's external",0.0,0.0,0.0,1.0,0.0
124,"I also think it's important to appreciate what we've got. Yeah, I mean, yesterday, for example, if the gardener all day doing the gardens in the patch where I live, which is a big area with the dust bins in the middle, in a cage, and if we go up to the garden to have a cup of tea or coffee, you can do no wrong, you know?",0.2,0.2,0.0,0.0,0.6
125,"Yeah, they're not allowed to stop for tea breaks. Well, not on official tea breaks.",1.0,0.0,0.0,0.0,0.0
126,Awesome. Really good.,0.67,0.0,0.0,0.0,0.33
127,"Yeah. Very helpful. Even the ranges of caretakers. I know we can't I'm not allowed to come into your properties or if you need something, take it away, you can get outside your front door. The  communal , you know, and.",0.0,0.5,0.0,0.0,0.5
128,And if they were to pick up steak every morning picking up the litter at nine o'clock. Wow. Yeah. Emptied the bins every couple of days.,0.5,0.0,0.0,0.0,0.5
129,"Yeah, yeah. So you know, we got we do get a lot of help. It is really, you know. Well, I suppose there will come a time when I feel for it. Some people will need to move because of the environment that it may not be suitable for them now.",0.33,0.0,0.17,0.5,0.0
130,"It's hard to say because we all we all have different disabilities or health. I mean, we had a lady in our class. She was totally blind. And if you're having a coffee morning or bingo after you come down, play bingo. Somebody go for one of the residents of Walton, go and bring it down and take it back up again and ...",0.57,0.14,0.14,0.14,0.0
131,Improvements?,0.0,0.0,0.0,0.0,0.0
132,But it can turn to mould,1.0,0.0,0.0,0.0,0.0
133,"That can affect your respiratory system, you know, breathe breathing and everything else you do.",0.0,0.0,0.4,0.6,0.0
134,"Oh, yeah, so you're at you're like leaseholder.",0.0,0.0,0.0,0.0,0.0
135,"Yeah, I don't know whether that's how to get things done. Yeah, there's a rent payer. I don't know, you know, but you do find that it would be hard if you to get things done.",0.29,0.14,0.29,0.29,0.0
136,I've never found it difficult to get things done. I tend to put it in writing. I write a fancy letter to the little department of PCH. And I think that's better than a telephone call.,0.67,0.0,0.17,0.17,0.0
137,"Oh, yes. Different landlords, again, the different levels of what they will do and what they want.",0.0,0.0,1.0,0.0,0.0
138,And they've now just in the past week introduced a leasehold forum which is on Zoom. Yeah. And are you going to have a personal personal contact if you're a leaseholder to discuss any problems that might come up.,0.0,0.17,0.17,0.67,0.0
139,"Yeah, of course if it's more regular. laughs",0.0,0.0,0.0,0.0,0.0
140,"Yeah. The thing I I don't use buses now, but I've heard a lot of complaints from some of the residents. The post that goes from town to 25, I think, is a one to the Barbican and the Hoe.",0.29,0.0,0.43,0.29,0.0
141,You have to be fine.,0.0,0.0,0.0,0.0,1.0
142,"And they went to use the normal single decker bus. In the summer they're using in the tourist bus. And then when the tourist bus comes and it's full up. Yeah, the regular people who live around there want to get to the doctors at West Hoe, can't get on the bus. Mm-Hmm. Mm hmm. And because of that, you know, enough, I think, is stupid. You don't need that. You can have the tourist bus on, but keep the 25 the normal service going instead of swapping it. You know,",0.25,0.12,0.12,0.38,0.12
143,"No, there isn't no there. So you get a lot less seats.",0.0,0.0,1.0,0.0,0.0
144,"So that, you know, that's here. I mean, I don't know about the rest, about the town and other areas. You know, I know you get some areas where the bus is every half an hour, and it can be every hour",0.0,0.0,1.0,0.0,0.0
145,"You get unlucky, within five metres of my front door there's a bus every 10 minutes. The 51 or the 21.",0.0,0.0,1.0,0.0,0.0
146,It  is just too many red? Yeah. laughs,0.0,1.0,0.0,0.0,0.0
147,That's right.,0.0,0.0,0.0,1.0,0.0
148,"we have that problem on our face. So when you get a group of people sat down just talking amongst themselves. And then somebody's phone rings. And she talked about the fact that I can't hear you, there is too much noise. People I feel like say, Well, don't stay here on your phone. Go somewhere where it's quiet. They don't. You know you're right about these hearing aids. I've heard about, you know what? I don't need them. I just don't listen",0.29,0.29,0.14,0.29,0.0
149,"Well, but is it an invisible disability? People don't notice.",0.0,0.0,0.0,1.0,0.0
150,"Something I suppose I've learnt living where I live with people. We've been hearing aids and someone say, Can you speak up or or can you seat on this side to make? Because that's be good. It has to be bad, you know,.",0.17,0.0,0.33,0.33,0.17
