,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
14,"Oh no, I got nothing in the bath except the best mate drive",0.015877856,0.004537319,0.092804454,0.38511196,0.26210746,0.23956095
15,"Yeah, I didn't know they existed till I got one. Yeah. And I thought. And anybody struggling to get in and out of a bath of bullying about slipping falling in the bath. I mean, say we really, for me, a period in my confidence that started off with a bench going across the bath and I nearly went headfirst into the touch. And so I was at seven. Not we're not going to forget, you know,",0.027007228,0.0043821507,0.09612241,0.31117043,0.24776335,0.31355444
16,"that period of time where we moved when I moved to now. Most of us got wet rooms. I think there's only one fly out the 34. It's got a bath. And their ideal for us, even if you only want a walking yeah, like I say, I was given that wheel chair just sat on that and it is quite comfy cushions say, you know, it's great.",0.11872724,0.003199681,0.089097835,0.6291074,0.047050547,0.11281727
17,Not for me?,0.03242281,0.012365881,0.20484042,0.0758704,0.5637781,0.110722385
18,"Yeah, that that bothers me because I have neuropathy means so don't feel heat straight away. Um, when I moved back in, I'm now four years ago, I was in a wheelchair. I'm in my bedroom. Very rarely wore it. Don't do this impression, but the important hello worked for me. I didn't have open air fryer and a small hub that was great while I was in the chair that was worried about leaning forward, bending down to get to the Oven. And even now I can bend down. Sometimes I can lose me balance, so it didn't bother me. And I think as I got older, personally that does concern me. You know, I've I lost me there like that. Be it, then I wouldn't be cooking takeaways. Yeah.",0.2870299,0.025971701,0.20709953,0.2186039,0.07027456,0.19102041
19,I like talking!,0.09743687,0.016228214,0.059486456,0.2712453,0.018526327,0.53707683
20,"Oh, there will be no look area,.",0.0040569324,0.0016814548,0.007605668,0.16956894,0.44870025,0.36838675
21,"Transport is probably one chance for trying to get in and out because they can't use buses or taxis because I have difficulty trying to get into a door had trouble getting your car, you know? Yeah, and quite tall. Not quite as you bend, I've got back and hip problem. I can't kind of move properly. It's difficult with me. So is transport is a an issue.",0.12985465,0.00054375076,0.029406644,0.7710122,0.06485712,0.0043256423
22,"I'm glad you mentioned that because transport will be the top of my list. And the reason being that as long as I can get on a bus and I can celebrate it in a bus stop, I can see my children and one lives in Launceston. One lives in Woodbridge and two and a half hours on the bus. But the only problem I've got with buses are and get on the bus at the moment and get off. But. I've got a hopefully I can manage without a wee until I get to Bodmin.",0.014206358,0.00095599354,0.097731896,0.86141276,0.01056377,0.015129233
23,pretty soon because it stops them enough above me for me to get out and have a pea that I've got to tell you this too.,0.0108531695,0.0007163553,0.013377103,0.40236065,0.016885346,0.55580735
24,"Yeah, I've already mentioned we're right. Yeah. You know, I've been since, you know, legally here.",0.029943692,0.005202327,0.012348699,0.49467397,0.0902154,0.3676159
25,"It's no, definitely not. But um. I think it's a good way of being in contact with people in families. I know it's nice to be together, but with everything we've gone through, you know, on Zoom or other social media, you can be your messenger through Facebook and it is good you can see your family talking to, you know, um,",0.020063452,0.0042497665,0.21203975,0.7509648,0.006310768,0.0063714464
26,"thinking, Oh yeah.",0.023542367,0.004740742,0.058877643,0.6043556,0.109037615,0.19944605
27,"I struggle with it when I thought I had to isolate, because that meant taking early last year was to say isolate for 14 days. I struggled to quell my scooter to try to avoid everybody. Well, no shops open in town show free travel around there, but it can get scary as well. And I think I'm more scared now than it was last year, and I think it's because of the understanding of it about both the Jabs obsessive test yourself twice a week. But we have a great community where we live. We're lucky, we're very lucky, and we all realise that, um, we had nobody had the infection or anything like that, you know, the virus. So and we do sit downstairs. I'm not in the community when we weren't allowed to use that, but it's still sitting in the main entrance. You know, I don't",0.19183801,0.022616312,0.1810536,0.11182503,0.071838066,0.42082897
28,"do or out in the courtyard, you know, so we had the communication wasn't too bad for us. But if you look what your own in your own house and I think you're more isolated than I think communication right through technology is in really, you know.",0.13154984,0.034894124,0.13479975,0.1668532,0.0961884,0.43571466
29,"When some people can't drive a car, that's how you do notoriety before then. Once you try to ?  During lockdown I was stuck for two years. Yes. We just live in a bedroom and that's it is a shared house for four people. And I wouldn't go see it.",0.04500747,0.001385826,0.17576459,0.7056549,0.055989977,0.016197195
30,"And I just don't think even though we've got a community, we do face to face just in our reality now. You know, while they are still things like, do they really, I don't know what we would have done 40 years ago. I really don't, you know, so",0.2523169,0.05708744,0.09745999,0.1437114,0.24306095,0.20636334
31,"They've been very good press so of. I mean, I'm not with them, but some the our residents are yeah. And you know, I mean, that struggle. I don't even have to pay for my prescriptions. I got a text message from Boots's chemist because of pain and your prescription is ready for collection and closes the book. The booth came back only 10 minutes, you know? Yeah. So our customer, so we've been lucky like that.",0.02227536,0.007773535,0.08470628,0.0015648699,0.003486331,0.88019365
32,"But I was with Lloyds in Devonport. Then when I moved, I told my doctor that my prescription is going to Boots. And at the start, I had to keep ringing up, ringing up, getting prescriptions that over now Boots supply for it, for me.",0.07397911,0.010669265,0.065417156,0.6249103,0.17654562,0.048478555
33,"We won't now go back four years ago. You know, these are driving where we have all agreed for, you know what I need from when they need it. So, OK, OK.",0.0956776,0.02046044,0.72278416,0.13836347,0.012005716,0.010708597
34,"I forgot how my Doctor looks like,.",0.0039204294,0.0006708279,0.0016909546,0.7993269,0.05356003,0.14083089
35,"and you know, especially with the chest problem, and it's a bit of a telephone consultation. And when I say it's a consultation, a conversation because you will only be hearing huh huh down the phone ...",0.12510869,0.016848324,0.113318935,0.7384745,0.0035611715,0.0026883865
36,from the phone down and you prevent even breathe.,0.026286138,0.0064097987,0.03144197,0.62618357,0.22397694,0.08570157
37,"Yeah, I do get annoyed, really, don't you all?",0.41431007,0.096609496,0.084456496,0.1347685,0.055594154,0.21426131
38,"Yeah, it is very hard for trying to communicate concretely for people. And I think that's where you get fed up. And I think some people just give up to try to communicate with them. The next thing to get electricity, to know why you're doing this, why are you doing that? And again, people get put under pressure. Well, you know, it's it's horrible. Yeah, it's I'm quite fortunate I do get your scam calls, you know, text messages from my provider BT. And if I'm not sure I ring BT up, you know, saggy pants and stuff like that, you know so well, a lot of people don't know how to do all lot, you know?",0.070400566,0.038919,0.31956753,0.5030173,0.013152118,0.05494351
39,"I read about after quite a lot of our residents doing jobs for them and things like that. It's something in my nature. I would reward myself and I used to work for, Yeah, and I still do it now. You know, that's what keeps me going mentally. You know, without all that I don't know, I'll be there enough income of our party, you know?",0.032505523,0.025089901,0.64030635,0.14382261,0.012144949,0.14613068
40,"Yeah, that's it. Yeah.",0.010396706,0.0053044995,0.011222437,0.32974002,0.036414348,0.606922
41,"to do something very plausible, the people very and I sometimes tell our residents like I've had this scam call, if you get a scam call or they're asking you to BT again, we say my payment last month hasn't gone through and they take my details. Well, I've checked my bank statement. I know that it was paid, so I didn't have to do anything else. I just blocked the numbers. But they come back with different numbers",0.0073161037,0.0007631054,0.0112357605,0.9663679,0.0016690835,0.012648052
42,oh they did,0.020585554,0.030673742,0.27831835,0.1847294,0.05272729,0.43296567
43,"So it's it's never ended, and I don't think it will stop the way we're going to stop it.",0.059226997,0.006862947,0.035762094,0.16406968,0.1841291,0.54994917
44,There is a way for these big companies don't want to.,0.017395461,0.0049943756,0.78451335,0.004275861,0.011065174,0.17775574
45,"You can't keep. Yes. Yeah. We have agreed to our place doing Taichi every Monday afternoon. I start doing it with them well, so a lot of them, our regulars, that they drifted off along with what your you can't be with the big group and this group called the Barbican legends, which there were a lot around the Barbican. They were coming in, doing this Taichi. It is very good for you.",0.056000598,0.038880702,0.28213003,0.04478587,0.028625788,0.549577
46,"And it's a great way of being able to meet up with people. But at the moment it is not right to do. Um, I think they started it again and",0.00014542561,4.223939e-06,0.0042178514,0.9955326,5.5819815e-05,4.4100758e-05
47,"Yeah, for now we can't.",0.020495854,0.0020250396,0.042235646,0.61722803,0.087139815,0.23087563
48,"That's right. Yeah, yeah, yeah. Yeah.",0.035112925,0.012664075,0.01986157,0.36631402,0.055874225,0.51017314
49,"So if I can just just go back three spaces. Somebody mentioned television licences. Now there's no getting away from the fact that television is very important to elderly people who are confined to their own home. Yeah, now I'm 82 soon be 83, and I've got a TV licence because they stop the free ones. And this week, for example, I got a message to renew my television licence, and I haven't done so because I got so annoyed that the millions and millions of people have not even done last year's licence. And yet, so I think because it's so important that elderly people have the facility legally to watch television, it ought to be sorted out.",0.036896367,0.0007660672,0.13560946,0.8248336,0.0015502914,0.00034425256
50,"Yeah, I get mine to be renewed every year automatically, and I don't know why, because by the people I to.",0.1885652,0.020827318,0.16268162,0.50313467,0.054319855,0.07047132
51,"I don't mind paying, but I do expect other people to expect other people to pay.",0.33124375,0.037542943,0.013771609,0.14948036,0.1077379,0.36022344
52,"The repeat programmes, you could expect a double bill for your licence.",0.024673875,0.0022543108,0.0063531296,0.06783718,0.009634738,0.88924676
53,"Well, we'll just make one comment on digital communication. I didn't actually comment when it was discussed. I use a zoom, a great deal and sometimes that as many as 400 people can go on Zoom sessions from around the world little corners of the world had never heard of.",0.032839846,0.006225538,0.50499916,0.42767224,0.01803337,0.010229811
54,How do I use it?,0.09770511,0.02334765,0.61613965,0.06924475,0.11323759,0.08032524
55,"I use it for groups of which I am myself a member and the worldwide groups, and I use it for church activities, which I am a member. And I also use it digitally for communicating with my children with a portal, which is a magic machine. I just make telephone calls by saying to the television, Please ring Harry and Harry's on the television.",0.07356675,0.18978126,0.3470456,0.32045805,0.03447169,0.03467663
56,"I also wondered about that one. Well, I'd probably get it for my family. Well.",0.011081796,0.0026120425,0.06880655,0.15687084,0.056308188,0.70432055
57,"So having said that, I'm not keen on it if I think about it deeply because it really does eliminate social interaction. Person to person, yes. So although I'm spot on a bit of a coward in a way, I use it. But. The back of my head says I don't really agree with this.",0.10743091,0.014313389,0.31095558,0.35051182,0.19150184,0.02528647
58,I would say the pope was there on a big TV screen. You can see the state that was behind the screen and completely look like you got real bad luck.,0.04647846,0.019620998,0.099446766,0.6328396,0.037018206,0.16459598
59,I only got this because one of my kids bought it for Christmas.,0.0009210933,0.00054922944,0.0009534402,0.6147844,0.20976005,0.17303176
60,Yeah.,0.0057457667,0.005653041,0.011553489,0.5717259,0.038030714,0.36729106
61,"No, I think I said digital interaction. Um, communication is important, but there are still a lot of people that don't have that. They don't want to. You know, I'm. I got it for just over two years, and I'm still scratching the surface with it, um. People come to me and ask me. Because so wrong when we computed hello. No, but your son can work for the education services on I.T., you know? So, um, I'm more a practical person.",0.08334223,0.07822203,0.09065736,0.0429194,0.043760024,0.66109896
62,"Do you think that a lot of people think a realise that you know about self-care, that is important",0.21693844,0.1158047,0.25137427,0.20949593,0.123306915,0.083079755
63,"same as activities, you know, even though it's essential to you. You know, I've got to have a bath. It's an activity or a shower. You know, it's an activity.",0.042545274,0.0013584553,0.48415098,0.47138742,0.00034262217,0.00021525689
64,"People say to me, Always enjoy what you do or enjoy doing what you do. I have got saving for life, and I'm fortunate to have that. Um? Well, so, I've seen people that hasn't, you know, people",0.07015205,0.03287064,0.009112547,0.78167033,0.01864781,0.0875466
65,"But I think the transport as a part of social interaction is vital. I mean, for example, I've got a son who's a copper in Launceston. Yeah. Now I'm going to hop on the bus right outside my door. No one from here to those tables that hop on the bus and I get off at Tesco's in Launceston, which is eight minutes for my son, he collects me in the car. Yeah, I'm just starting to get some of the best of Tesco's naturally, but",0.06990746,0.016436653,0.447931,0.42651284,0.01241396,0.0267981
66,"then I'm fortunate I've got a car hold beloved for. I don't know what I do generally road some of the residents around to the garden centres that help yourself, you know, so I've got no taxis but waste money on taxis, you know that. So I enjoy getting out excuse to get out. And so that is important to me.",0.43368176,0.001292552,0.14940518,0.37792733,0.02338788,0.014305302
67,"Yes, you are.",0.027928038,0.036195997,0.03275295,0.68384105,0.046618566,0.1726634
68,"Yeah, yeah. Is there any approximation when you crashed on the bus I worked with was comedy, a nightclub, three buses in the depot.",0.097314924,0.011540922,0.013087472,0.7748047,0.052313894,0.050938096
69,"So I burst in because the crowds in the way that I went because it felt I felt pressured to do that and put the post goes quiet because I do like to use to drive. I do reverse parking and they'll go, Oh, you know, the flashing to the side? Yeah, something out.",0.22199471,0.00808501,0.18494646,0.26289,0.0091550965,0.3129287
70,"I don't know his picture post. You can't, you",0.02651201,0.012920072,0.091685906,0.04657369,0.39523354,0.42707476
71,"know, it's a self-drive 'cause people make up, they go off, right? And I had two arguments to have taxi drivers in Plymouth but I didn't hear. He started giving me a lot of, you know, doing that and I'll get off an engineering and technology made.You would think a lot about Typekit. I think more people are going to get hit by a car, but yeah,.",0.017026749,0.0060072136,0.007633948,0.8834691,0.01010387,0.07575914
72,"They are know what you're saying, but it's all about climate change and people have to suffer with climate change and not just because of climate change. Electric cars, like you said, they're very quiet. I've never stepped out looking the wrong way, but you know, you don't ever call me, you know, so there's no",0.078657195,0.008412049,0.123101115,0.22778226,0.2768649,0.28518248
73,"But it was a complete idiot or not. One thing I miss is my driving licence and I can't drive. And I just let it lapse, like living in France and Belgium, and I didn't need one because this is I just never one of  ...",0.0942031,0.0018753525,0.21911328,0.6383533,0.03542464,0.011030324
74,"Yeah, we're getting my driving licence back. It is not impossible that they have a point because I'm insulin dependent diabetic and had four heart bypass. I have cancer twice. They take all these medical things into account. And because you're over 80 years , You wait for years to get your driving licence, which is really going to make it hard to just renewed your degree and wouldn't have any problems in this country.",0.24542171,0.004520382,0.5763869,0.15771519,0.014727534,0.0012282786
75,"When you think of how the world's changed in the past 80 years, it's just a man. Yeah, and frightening.",0.01916721,0.0070569273,0.7856833,0.11275374,0.06360806,0.011730802
76,"see these films that come out, you know, robots.",0.010491931,0.006677229,0.14661375,0.31280684,0.17106313,0.35234714
77,"But a very Victorian upbringing wouldn't even have electric vehicle guests if that oil lamps, no wireless or anything like that.",0.017260436,0.021944148,0.094848186,0.12168225,0.22045852,0.52380645
78,"it's kind of my generation now. You know, I mean, I can't imagine having a television since I was a toddler. But when microwave was coming you give me pause and think that now you feel like I can't give me that one?",0.021272976,0.0011915064,0.043078043,0.734918,0.19349223,0.006047225
79,"Well, my wife wouldn't have one she wouldn't use it to get the room microwave oven.",0.003378094,0.013178571,0.0053017815,0.009421327,0.08313059,0.88558966
80,"Well, I think we read you talk about radiation and not what you think. You find that you know what's going to happen.",0.014813583,0.0057304697,0.06934084,0.056028906,0.058513142,0.79557306
81,"So I went to my well, I spent most of her time in the spinning wheel to yeah, yeah, straight on the spinning room. And she was very well as well.",0.007381836,0.0019978543,0.01040444,0.1652141,0.048075896,0.7669259
82,"And frankly, that was",0.015050729,0.010748242,0.08168909,0.63558096,0.06868691,0.18824407
83,"in an antique shop in the day and the end of the old toys. You know, and it's just like this spring on it and this little bobbing on it, you know, it was kids entertainment. Then, you know, and then you try and get a kid now like you one of them night that five year old knows how to use a computer about the knowledge. And it's. Oh yes. So I do have dyslexia, you know, so I struggle with things and not very retellings have to be told this is what you've got to do. Something finished telling me I've forgotten the first part. You know, so I don't know what going to be like in seventy years. I've no idea.",0.003911797,0.001276122,0.0690099,0.058184084,0.027234443,0.84038365
84,That that scares me. I want to run a self-drive car sitting in a car andI can't control the steering wheel which is moving along the motorway that terrifies me. I like to be in control.,0.030553974,0.0073085865,0.7803915,0.15549938,0.023611499,0.002635066
85,"Well, we are in a way because we, you know, somebody at the front and control. You know that because that is",0.22153853,0.064099126,0.37550637,0.045804534,0.15539522,0.1376562
86,You don't know that on the docklands light rail that drives itself.,0.049603216,0.011850163,0.017419942,0.09497768,0.054220047,0.77192897
87,"Yeah. And when you talk about planes without pilots, I mean, I won't even go on a plane anyway, you know, with the pilot",0.15535372,0.055408582,0.5928834,0.07843106,0.038429845,0.07949336
88,"If I get in the left hand drive car. Yeah. Even though I know so many drive, you know where I'll be banging my feet on the floor when you go to a break and you just instinctively think you've been driving for a long time. Yeah. And I mean, even get my car out of an adapted factory to be left for the accelerator and the brake, and for 40 years I've been driving.",0.08366632,0.0024382751,0.04103168,0.86224693,0.0062736915,0.004343078
89,It was easier than I thought.,0.008562341,0.005171406,0.12065841,0.016251266,0.040876783,0.8084798
90,"What I did before I got the car, I got in touch with a driving school that caters for disabled people. And when I got in the car and I said, Look, I'll be driving this in seventy nine, I said. Now the problem, do not say anything about my driving this bad. Tell me, but I don't want to be criticised, you know, because you have old habits and drive you driving your own way. And I was a bit edgy, $40 a throw, and it was only a tiny little car, you know, and I thought, I'm going to do wheelies and I brake I brake too sharp, so I have to concentrate on that. Then the car got the Nissan Qashqai sitting in there. It looks massive extra to get it. OK, now driving that for a couple of weeks, I was nervous. Is that on the road? Because trying to get out of style where I live onto the main road and I'm waiting for traffic to grow. I've got a gap and I just hit it slightly too hard. We're spending trying to get out, but now no problem.",0.0114126755,0.00076015707,0.15053904,0.7915431,0.04346152,0.0022834952
91,"Yeah, I've done that. Come up, take Pulling away the automatic changed gear.",0.12325059,0.020807415,0.39965346,0.017134152,0.2681316,0.17102276
92,"it was the first time I drove an automatic car. Not adapted. Yeah, not a standard automatic car wasn't concentrated as it pulled away before it went to the clutch. I hit the foot brake. Yeah, I mean, by the way, through the windscreen fortunate to the seatbelt umm",0.13907218,0.007588801,0.33978316,0.22489509,0.277891,0.010769749
93,"Oh, well, then you go on that. Yeah, it was just  you're naturally link stink when you're driving. In some betting. You can just get in the car. You don't think about anything. You can get and off you go, All right. And again, with all that I'm going off to Manchester in a couple of weeks. Yeah, I've never been further than IKEA Exeter and looked a bit nervous on the A38 driving fast I don't know why. I mean, there's going to be in Manchester I don't know how how many times it's just one go basically.",0.022990447,0.0004029179,0.24170639,0.645377,0.021846713,0.067676544
94,"Yeah, well, I've got mobility scooter that I use in town quite a lot you know, but I'll throw in the big free cash flow and.",0.04144875,0.009490428,0.21340883,0.16049239,0.06533078,0.5098288
95,I've got an ability scooter as well. Things I don't know. I would have come on that today ...,0.047142085,0.00475773,0.15823604,0.092953406,0.38915968,0.30775106
96,"Well, that's it. I've got daily fit to motorbike change. So when I finally managed to keep my scooter outside anyway, I'll change it off. yeah. even if it just showed a sign outside the shop that changed to that, you know? Yes, I've been very fortunate to have the ...",0.011991867,0.011780498,0.20846604,0.7472717,0.015101998,0.0053878985
97,"The other robot brought was a cat. It was a cat seating on your lap. We have to right be outside TG. This is nine to nine this is not what the carer describes it's coming back...She wanted to buy it. So she wanted to buy it. That was a hundred sixty pounds. Other robot like this you did with Astro came in and said...Well, she locked the cap and she wanted it to buy it. And she says to Hazel I've got the money here and I'll give you the money  laughs it's safe to. They give it to Eric. He can sort it...laughs",0.037058476,0.0027188268,0.17746072,0.75896186,0.02021853,0.0035816128
98,"I know, a bit of a dinosaur. I'm quite frightened for the future over there. Well, I think technology has advanced far too rapidly.",0.004543065,0.0043137837,0.8692114,0.03708467,0.040608764,0.04423832
99,"Well, I think that's probably where a lot of people struggle with it. Either don't do that and I don't put PCH a big grade with doing the computer courses where they but there's a lot of places on the dome, but you got to pay to go and it can be very expensive. So,.",0.29232416,0.33128148,0.053495217,0.22828628,0.05524929,0.039363597
100,"No, no. I mean, I always felt well, not always but recently the PCH felt a bit get a bit too controlling over us now. Yeah. When the rules change because of covid, we don't get told until a month after and we have a lot of us are desperate to get back to the coffee mornings and the bingo afternoon we can use the community room. We can't just use the kitchen. And I said, Well, Bring your coach down for tea and coffee, you know? And I'm borrowing a cow out in the courtyard. Oh, OK. A lot more can carry hot drinks on their own, you know, so they I got so oh, you can't do that.",0.13082035,0.029193887,0.044958774,0.59021807,0.12555926,0.07924967
101,"Yeah, right. I've got a cup holder which clips up the week and the wheelchair.",0.010866064,0.00081144896,0.0032720095,0.33290046,0.02198809,0.63016194
102,"And I got it with a thermal cup. So the thermal cup  will fit in there. You can buy them. Usually Because you can adjust, you can adjust the the whole, you know, the the clip on it. Um, whether they want that, I don't know. I mean, if you was a guy, I've got thermal cups mine are that old now. No, they don't overheat that much. Um, but like you said, talking to my sister last night, she said, Well, you know, I thought if we got thermal cups then you can bring it down, a lot of them got what they call them...",0.02632007,0.002181671,0.80659014,0.11580555,0.012394831,0.03670776
103,"What we're saying is, you know, like, maybe this was a sale in the courtyard. A lot of them can't bring hot drinks down. I've suggested they put the the tea and the coffee in their own cups bring it down now, Boiler Co in the courtyard. But Debbie said, No, you can't do that. Do that. I don't understand why. Well, yeah.",0.047973435,0.0016369767,0.13400272,0.7157102,0.0921068,0.008569859
104,I've got about anybody else.,0.0031878422,0.00044573846,0.26754388,0.40874508,0.18181682,0.13826065
105,I didn't quite understand what this door is.,0.07823866,0.05488477,0.23521623,0.010729915,0.0823753,0.53855515
106,"Yeah, I understand.",0.06125858,0.023335973,0.08823465,0.63384634,0.110878795,0.08244567
107,"answerable now like the zoom. I mean, it might be simpler than the same I've never used zoom We've used a different type of media thing to use, but weren't operating now the guy who runs our mention he was operating it sometimes successfully, sometimes not. It is technical technology challenge if you like, love it laughs. The colleague I'm talking about. Well, it's. That sort of thing, if somebody said to me, Oh, you need to get on to this, you need to get on to that. That scares me. Like you say, it does scare you technology, am I going to be using computers for about 22 years and I'm still just scratching the surface. I can do e-mails.",0.014834204,0.007641413,0.8713022,0.07192829,0.009221981,0.025071919
108,"I don't know what it is. I think it's a fear of the unknown. And you read about all the scams. But I mean, I can do the basics. I can send the emails attachments, I can open the emails. So to me, I can do what's important to me. Um.",0.01174569,4.7131503e-05,0.1863427,0.7879279,0.0087331105,0.005203422
109,"It does for me. You know, like I say, I use my phone to do it. I've got a laptop not used for about three years. I've got a tablet. I get a struggle on that when trying to get onto the home page I need. I used to ask a friend to bring them up, saying I'm struggling come around, he sort everything out for me. I don't see him now. and the other friend that did it. And unfortunately, she passed away. So I feel like I'm on my own now and I feel really at a loss because where I live, I'm probably one of the youngest. You know, so there are some who use the internet, but mainly for shopping or ordering food online. And that's it. No, I don't do that. You know, I'm old fashioned, so I just like to, uh. I'm happy with what I can do But there were a couple of time later on when I make stuck in the house and I need to do more on the computers and things like that, and I just don't absorb it there. I do have a problem with dyslexia, but I know what the government member is.",0.18895444,0.02509094,0.035823718,0.4581843,0.124805234,0.16714138
110,"To me at the moment is helpful, but there are people that have made that go insane. It's all. And I think people do struggle with it.",0.14750306,0.0016390627,0.27736685,0.5240638,0.04749373,0.0019334919
111,I struggle with that. Yeah.,0.10031178,0.025549455,0.09611076,0.2458328,0.36288518,0.16931005
112,"Maybe some people are scared by technology, including me. Some people are not like Hazel or she doesn't know about technology.",0.026341373,0.10600581,0.28592774,0.0003196913,0.0072834096,0.574122
113,Not as good as critics.,0.017058074,0.002666561,0.06138998,0.4807685,0.24924654,0.18887033
114,"For example, I think it will become to some extent now. We don't see on the news all the hundreds and hundreds of people who are losing their life savings through internet banking. And they are.",0.13306017,0.12800904,0.25952122,0.33575878,0.09237171,0.051279068
115,"Yes, I saw on the news with the eBay alone in the southwest, £25million stolen through scammers that we see in the southwest. You know, I've been ripped off. Nothing massive. The first one was about twenty five pound instead of six ninety nine. So I'm very dubious of what I go on to buy anything. And so it's very rare buying if you online, I go radiates cover for one of the residents. I'm supposed to be near to the. He didn't want to do it. He wanted me to do it. Yes, it looked the same. I was getting to the point where I was looking at the scene and I thought, I don't recognise that company name and don't recognise that company name. So I rang up my sister she said tribe from world. Don't do radiates covers, what they do, and you get special offers, so I ordered in that we've got it. So the next one he wants we'll order through the same company because we know it's genuine. Yeah.",0.0034010743,0.0030157003,0.08639173,0.7905209,0.0052325935,0.11143798
116,"No. You know, if it sounds too good to be true, then it is.",0.11431639,0.011198328,0.40928748,0.2360533,0.13691716,0.092227325
117,Stairs without banisters for me. So especially without was a bit of banisters to.,0.005443021,0.0007335636,0.013934791,0.8870976,0.06379694,0.028994072
118,"Well, I wouldn't be without my handrails up the stairs now, and I didn't ask for. Oh, I've no reason to rub it down, but about four bypasses I've lost all my energy to having had colon cancer twice an insulin dependent diabetic. All sorts of things. And when I was last in hospital, they certainly organised at all these rails and I couldn't do without them now. But you know, I manage if but they were then and.",0.1895515,0.029474284,0.10781205,0.2626139,0.34116685,0.06938142
119,"I couldn't even let me stay and I can't. I've got two options, you know,.",0.2858444,0.054699477,0.38323492,0.044028975,0.19594923,0.03624302
120,"and whatever people might say about PCH. I mean, saying this year, but I found the wonderful, Oh yeah, yeah, I'm the beast and I own the property. I don't own the sort of walls and things, but that where I had a problem, they've done marvellous. The job and charge me quarter is because they have taken the bathroom and it was coming from the maisonette above mine and they spent four days with plumbers and carpenters.",0.12472723,0.27174848,0.030884624,0.19352862,0.06753827,0.31157276
121,"You yeah, you don't got a landlord. I mean, it is it. I was in associations, you know, as great as I'm going to put it words, which is helpful if you like as PCH. Yeah. And I know what they like. I work for it and now give me landlords, you know, and go with being grateful to like Hazel. Yeah, organising quizzes and things like that. Our place. Um, I mean, I know that's not to do with a lot of this.",0.14869393,0.005709444,0.16213064,0.6542706,0.009159996,0.020035367
