,Text,Happy,Angry,Surprise,Sad,Fear
56,"When you get to that age, you have to rely on the people you trust, people that are going to look after you. You don't think they're going to abuse you, because in 10 years time I could have Alzheimer's, you know, so you're thinking differently. Yeah, try to trust I mean to trust,  trust people that are coming to look after you, are going to look after you well.",0.0,0.09,0.18,0.09,0.64
57,"And I don't think there's a problem with ... Rayan was just saying you can't do things, but you don't realise you can't do things until you fall off the ladder trying to change the light bulb. Yeah, yeah. You have an accident because you haven't realised that maybe physically you can't do what you always been able to do.",0.0,0.0,0.27,0.64,0.09
58,"So it's kind of a gradual thing, isn't it? Like with your eyesight and your hearing. I mean, my mom's 88 now, and she's always had really good hearing, but I know lately that she'll say, yeah, or she'll think she's answered what I've said, but I know she's not heard me. And yeah, and you think it's because it's not overnight thing unless you have a serious illness",0.18,0.0,0.64,0.09,0.09
59,"and it's like those things she's always repeating herself. I'll say, yes, mom, you told me the other day, and you know,",0.17,0.0,0.33,0.5,0.0
60,I look after my grandchildren all the time because my daughter works. So and now it's a six weeks holidays.,0.0,0.0,0.0,0.0,1.0
61,"You're a busy, girl.",0.0,0.0,0.5,0.0,0.5
62,"Yeah, but I've always been a giver. I'm not a taker, so. Me too. Anything you can do to help someone, I will.",0.0,0.0,0.5,0.5,0.0
63,"it's like my next door neighbours through lockdown. The wife has got really serious cancer and treatments doctor in lockdown. And so I did their shopping. I mean, I only ordinarily do shopping once a month, but they like best weekly because it does. So I was coming into Plymouth every week to do the shopping because I had to be in Lidl's, so I held my breath go into Lidl's.",0.0,0.0,1.0,0.0,0.0
64,"Phew! I'm home. So it was really stressful. I don't want to get this disease. Yeah. So that was, you know, it was just nice to be able to do things for them. But then he's a builder. And so he reciprocated by building us a porch, when I gone shopping and you said, Well, you're not going to be there, so I'll go and do your front porch. So I came back and it was almost finished that way. Wow!",0.08,0.08,0.5,0.08,0.25
65,"So, yeah, yeah, I think, yeah, that scares me having people look after me and not the other way around.",0.0,0.0,0.5,0.5,0.0
66,"Yes, definitely.",0.0,0.0,0.0,0.5,0.5
67,I don't want to be looked after.,0.0,1.0,0.0,0.0,0.0
68,I'm too independent for that.,1.0,0.0,0.0,0.0,0.0
69,And they wouldn't it do it right anyway.,0.0,0.0,0.0,0.0,1.0
70,Of course not.,0.0,0.0,0.0,0.0,0.0
71,Cooking for start. You see it is a theme here.,0.0,0.0,0.0,0.0,0.0
72,"Cooking, cleaning. just do everything that you normally do. That person does, you know,",0.0,0.0,0.0,1.0,0.0
73,"and you have to be grateful as well. Yeah, which I don't want to be.",0.5,0.5,0.0,0.0,0.0
74,I'm going to be really miserable. Oh yeah.,0.0,0.0,0.5,0.0,0.5
75,But to be beholden to anybody.,0.0,0.0,0.0,0.0,0.0
76,"Because you have to be grateful that somebody is coming and doing it and they have their way of doing it. But you have your way of doing things and it's like, I don't want it, I want it done how I want it, but I'm just going to have to accept. And again, that just adds, and I think I'll probably end up quite low and depressed thinking, Yeah, I didn't have the control of anything.",0.08,0.08,0.33,0.33,0.17
77,"Yeah, you have to compromise all the time, isn't it? Yeah, yeah.",0.0,0.0,0.0,0.0,0.0
78,"And I think it'd be quite nice. I mean, people do things for you.",0.33,0.0,0.67,0.0,0.0
79,"yeah, I won't mind.",0.0,1.0,0.0,0.0,0.0
80,you're quite easygoing.,0.0,0.0,0.0,1.0,0.0
81,I just give them more jobs.,0.0,0.0,0.0,0.0,1.0
82,"Yeah, I still look after my children, even though my eldest is thirty nine next month and my youngest is 31, I still look after them, you know? Mm yeah, it'll be hard. Like I said, Lara said, she's going to be looking after me. That's my eldest. So be hard for me not being able to look after her because I still do.",0.0,0.33,0.33,0.17,0.17
83,What if she moves away? What if she immigrated to Canada?,0.0,1.0,0.0,0.0,0.0
84,She should take me with her,0.0,0.0,0.0,0.0,0.0
85,"What if you were in a position where your children weren't the people caring for you, like strangers?",0.0,0.0,0.0,1.0,0.0
86,"Yeah, because I've got four children and my girls are here. My boys have moved away. So, yeah,",0.0,0.5,0.5,0.0,0.0
87,Because not everybody has their family.,0.0,0.0,1.0,0.0,0.0
88,"Yeah, yeah, I know that.",0.0,0.0,0.0,0.0,0.0
89,And not everybody has a family whose wants to or able to look after them. yeah. Hmm.,0.0,0.0,1.0,0.0,0.0
90,"It's about trusting a stranger, isn't it?",0.0,0.0,0.0,0.0,1.0
91,"??? trust anyone because I've got a life of people all my life and just trust in it takes a long time. I can be with a group of people in the community room, but I don't have to be friends with them, I don't have to associate, I can come straight back into my room.",0.08,0.0,0.17,0.17,0.58
92,"Yeah, that's your sanctuary, isn't it? It's your safe place. Yeah. And yeah, and it's invading your personal space.",0.0,0.0,0.0,0.0,1.0
93,Shopping.,0.0,0.0,0.0,0.0,0.0
94,"Oh, blimey, no!",0.0,0.0,1.0,0.0,0.0
95,I would go shopping for everyone.,0.0,0.0,0.0,0.0,1.0
96,"See mine is still at the top, like gardening and doing exercise. Yeah, that's really, that's my life.",0.0,0.0,0.5,0.25,0.25
97,"Yeah, mine is dancing because that's all I do outside of work. But equally, I would find it really difficult if I had any visual impairment as I got older because I think there's so much that I do that would be totally different.",0.0,0.0,0.29,0.14,0.57
98,"and I don't know. Obviously, I would learn I would adapt, but I would find that really difficult journey to sight loss. Hearing loss, maybe I could deal with a little bit better, but I would find sight loss a really big issue to deal with.",0.0,0.0,0.38,0.12,0.5
99,"Yeah, ditto because I'm aware, you know, I get dry eyes now all the time and that drives me mad. Yeah. It's not something that they can fix.",0.0,0.33,0.0,0.33,0.33
100,"Yeah, my mom's got that muscular degeneration. So she's not completely blind. It's just a false. And she gets really upset because obviously the past six and a half years I became, I became a granny with my eldest do seven in October, and there is one on the way and every time I go home, I'll take pictures of them. And she gets really upset because she can't see them",0.0,0.0,0.29,0.29,0.43
101,"But it takes so much away, doesn't it? You can't read, you can't do puzzles, you can't watch films, you can't look at photographs with your loved ones.",0.14,0.14,0.43,0.14,0.14
102,"Yeah, yeah. My mom used to read every night before she went to bed. She has those tapes now. Audio tapes? Yeah. She used to love bingo.  Yeah, she used to be at the bingo five times a week. And she can't. She can't now so ...",0.17,0.33,0.33,0.0,0.17
103,"Yeah, I've seen it right. I enjoy a good book or good films. I just noticed reading that I really enjoy a good book or watching a good film.",0.6,0.0,0.2,0.0,0.2
104,"Yeah, yeah. I think I like taking photos as well. And so that be hard, you know, you can have the autofocus, but it's nice sometimes to just do it again and due to what you will and I do take photos now without my glasses, but I know it's getting harder. Yeah. And I don't want to have contact lenses to make it easier because I just can't stand the thought of putting something in my eyes. And so even at that, that would be awful if I, you know, so I love walking on the moors to the live on the moors and taking photos to babysit. To have those two things taken away from me.",0.12,0.19,0.38,0.12,0.19
105,"That's a combination of loss, I've lost one thing but it is accurate loss of  ... I like watching people what I like to sit in a coffee shop and watch people and what's going on around me. Because it's sometimes makes me feel less isolated just seeing life around me. But again, if I couldn't do that, yeah,",0.0,0.0,0.3,0.3,0.4
106,"I know my two. When they were little, we used to make up lives of people doing that. We'd sit and eat. Shall we make up thier lives? What do you think of that? She is a spy? Yeah, well, yeah, right.We give them a really, really interesting lives, they might have them but yeah, so?",0.11,0.11,0.33,0.22,0.22
107,"Yeah, I'll make rude comment",0.0,0.0,0.5,0.5,0.0
108,"To yourself, I hope.",0.0,0.0,0.0,0.0,1.0
109,I've got these calls all the time .,0.0,0.0,0.0,0.0,0.0
110,"Yes, yes. You know, regarding the car accident, you had to.",0.33,0.0,0.0,0.67,0.0
111,"Oh, that was 2010. Go away.",0.0,1.0,0.0,0.0,0.0
112,A few of us mentioned walking.,0.0,0.0,0.0,0.0,0.0
113,"yeah, that's one of my hobbies is walking, even though that I can't do. I used to go walking every day.",0.33,0.0,0.0,0.67,0.0
114,"So out of that list walked on the kind of the general. We think of the top three, the.",0.33,0.0,0.67,0.0,0.0
115,"Oh, Yeah. Exercise, yeah. Yeah. So exercise self-care.",0.0,0.0,0.0,1.0,0.0
116,"Watching TV, I love  to sit down and watch TV. Yes, TV, I like all the soaps.",0.25,0.0,0.5,0.25,0.0
117,"Cooking is fun, isn't it? because you can look forward to eating after that.",0.5,0.0,0.0,0.0,0.5
118,Yeah. Depending on your cooking skills. Laughs...,0.0,0.0,0.0,0.0,0.0
119,Probably taking care of myself,0.0,0.0,0.5,0.0,0.5
120,"we've got self care. Yeah. Yes, socialising, because it would be awful to be in a totally isolated, wouldn't it?",0.0,0.0,0.0,0.2,0.8
121,"See, I like being on my own Sometimes.",0.0,0.0,0.0,0.0,0.0
122,"I think I have it for granted in a way, but it's taken away. Yeah. See if you are alone for the week.",0.0,0.25,0.5,0.25,0.0
123,"Yeah. I go to my church every Sunday, and if it weren't for getting a lift there, I like socialising with them, it's a smaller group and it's more like a family. It's not a great big church and it's nice once a week or we go out for a meal, you know, so there is a certain amount of socialising.",0.29,0.0,0.57,0.0,0.14
124,"Yeah. Just maybe just meeting other people in general in what however, you like to do it. If you know if it's going to the cinema with friends, go for a meal with people",0.33,0.0,0.33,0.0,0.33
125,in this is like socialisation?,0.0,0.0,0.0,0.0,0.0
126,Even going to work is in a way.,0.0,0.0,0.0,0.0,1.0
127,"I don't mind being on my own but if I was on my own all the time, I wouldn't like it, because obviously I'm busy with my grandchildren and sometimes I just like to be at home on my own doing nothing. But if I didn't have that, I probably wouldn't like it.",0.0,0.33,0.0,0.22,0.44
128,"I mean, obviously during this time, I've talked to a lot of people who do live alone, and maybe the one Zoom call that I do with them a week is the only contact they have.",0.0,0.0,0.0,1.0,0.0
129,"Oh, that's frightening.",0.0,0.0,0.0,0.0,1.0
130,"Yeah. And I think, yeah, when I start thinking about it, it reminds me actually how terrifying that must be, you know, not having any contact andnot being able to speak to anyone. And I think we've all seen it, haven't we? The, you know, an older person at the checkout in a supermarket and just chatting to the cashier. And especially if you're in a rush to get back to work or something or go somewhere, you like the for goodness sake, you know, just move along. But in the back of your mind, you know, that may be the only current contact that person must have. So I think that we can be quite flippant about socialising because we get it. Yeah, yeah. But I can't begin to imagine how how debilitating it is if if literally you get up and there's no one and you go to bed and you've spoken to no one in, that happens day.",0.13,0.07,0.47,0.07,0.27
131,"Also, you may not have the physical ability to get out and meet new people or the confidence to just turn up to something and can't join this club or something that must super frightening.",0.0,0.0,0.2,0.2,0.6
132,"Where I live in community homes. We do take care of each other and the staff family. And if they're not, there is always somebody there if you need. You know, I'm helping people. Yeah, I'm helping people and people will help me. Yeah, it's needed. So you don't see each other for a couple of days before. Oh, and go and look at shopping. So I'm lucky that I'm there.",0.25,0.0,0.5,0.25,0.0
133,"Yeah, absolutely. I mean, I've lived in my house since 1988, and I still don't know the neighbours.",0.0,0.0,0.0,0.5,0.5
134,"Yeah, well, I know them, but we don't talk to each other. Yeah, yeah. I mean, nobody talks to each other at all.",0.0,0.0,0.0,0.0,0.0
135,"Yeah, it's like I live on the Barbican and some of the some of the neighbours are lovely. Others don't even bother with you. You know, I'm always like this: "" Hello, good morning"" but I'm like that.",0.5,0.0,0.0,0.25,0.25
136,"They are looking at you like you're strange. Yeah, yeah.",0.0,0.0,0.0,0.0,0.0
137,"I mean, I think it's the world we're living in now.",0.0,0.0,1.0,0.0,0.0
138,"Yeah, yeah. But like I say, I know a lot of people where I live so, you know, I'm never on my own. and there is always someone there.",0.0,0.0,0.33,0.67,0.0
139,"But now what if I say do, too, and that is the only contact I know we get it a lot. And I know you like your teams, but you were phoning people on their own when, you know, through lockdown. Yeah, and you said the same team.",0.0,0.0,0.67,0.33,0.0
140,Yes. Yes.,0.0,0.0,0.0,1.0,0.0
141,"Um, and we would get leaseholders as well, like I did. We we don't find them like you would for tenants. But you know, when we're speaking with our like more elderly leaseholders, you can't get them off the phone. And it's just they just want to talk and talk. And oh, we really, really something. Don't be sorry. That's fine with us. Somebody else will pick up the phone to somebody else is. You know, it's just ...",0.12,0.0,0.25,0.25,0.38
142,"And I think sometimes it's not your problems. You don't necessarily want to talk to other people about your problems. But it's when something funny or something really positive has happened to you. You want to share with someone and then it's like, Oh, oh, I can't tell anyone and I've got nobody to tell my good news to, you know, that must be really difficult.",0.11,0.0,0.44,0.22,0.22
143,"And again, I suppose, you know, it's all about being going, losing your eyesight, maybe losing your hearing. Then when you don't have that communication, you know, that must be quite isolating as well.",0.0,0.0,0.0,0.5,0.5
144,"Well, isolation was used in prisons as a punishment, wasn't it?",0.0,0.0,0.0,1.0,0.0
145,Oh yeah. So you'd be locked on your own.,0.0,0.0,0.0,0.0,0.0
146,"You know, it is still used as a punishment.So that just goes to show that, doesn't it? That's how you punish human beings and actually isolate them. Yeah, yeah.",0.0,0.0,0.33,0.0,0.67
147,"And I think there was a study made by a bit of a cruel statistically, but I think they did it with cats and the cats would be happier if you had any kind of contact, even if it was negative contact if it was just hit. Kind of thing, rather than stroke, it would be happier just because of the contact. So they were saying, well, that could be sort of people as well. Yeah. So just bad, any contact was better than nothing at all which is weird.",0.12,0.06,0.29,0.35,0.18
148,Very important! Laughs..,1.0,0.0,0.0,0.0,0.0
149,Yes. And that's an understatement.,0.0,0.0,0.0,1.0,0.0
150,"I'm an ex smoker and I, you know. But I smoked until just after the pop started to stop you, and I used to be outside every five minutes up in smoke if I. So I do understand when you want a cigarette? Yeah.",0.0,1.0,0.0,0.0,0.0
151,Did they say that all the most important meetings go on in the smoking area?,0.33,0.33,0.33,0.0,0.0
152,All the big decisions are made.,0.0,0.0,0.0,0.5,0.5
153,"Well, that's where you got all the guts??? Said, which is great things you wouldn't say in the office.",0.17,0.0,0.5,0.17,0.17
154,"Yeah, I guess you can just pretend, you know, one of those candy ones we used to have when we were little.",0.0,0.0,0.5,0.0,0.5
155,"And you get to learn about all the teams because suddenly we're going to talk of the other teams in the organisation unless there's a meeting or something or something formal. So, yeah, so you get to know what's happening in their little neck of the woods.",0.0,0.0,0.0,0.0,1.0
156,Oh the worst one is opening a tin,0.0,0.0,0.0,0.5,0.5
157,O Jar Jar. Oh yeah.,0.0,0.0,0.0,0.0,0.0
158,"I think everyone knows what kind of problem. I know, I know. Sometimes, you can get it open easily and other times, it's just won't. Yeah. Yeah. Bang it!",0.2,0.0,0.2,0.0,0.6
159,"You can get a gadget, though.",0.0,0.0,0.0,1.0,0.0
160,"Yeah, yeah. There's a can opener??? Which is really good. Yeah.",0.5,0.0,0.5,0.0,0.0
161,"My mom's got one to make it easier, but it's knowing that you can get that gadget , that's the thing.",0.0,0.0,0.5,0.5,0.0
162,"So I have very high ceilings in my house they are nine foot tall, so to actually change a light bulb needs a ladder. I also have one light bulb that hangs over the stairwell, which you have to get on top of a ladder. Somebody has to hold your legs and you have to lean over, Oh God, the drop to change the bulb. Oh no. And every time I have to do it, I am so terrified. And that's now. So if that light goes in the future.",0.0,0.0,0.38,0.38,0.25
163,It's going to say dark. Laughs,0.0,0.0,0.33,0.33,0.33
164,but it's the hallway light that lights the whole stairs. So then I would have no light in the stairs.,0.0,0.0,0.0,0.0,1.0
165,You could put the light somewhere else?,0.0,0.0,0.0,1.0,0.0
166,"Well, I I guess if I had the money to have somebody come and, you know, do the job. But yeah, that would need somebody quite... Because it will need scaffolding. Yes. Yeah. Yeah, because it's three floors high and the the one lights on three floors high and literally dangling over and you can see the floor and you're like ....",0.0,0.0,0.4,0.1,0.5
167,Get them on the wall.,0.0,1.0,0.0,0.0,0.0
168,"Yeah, but I was saying it's going to be quite an expensive job.",0.0,0.0,0.33,0.0,0.67
169,"I think any maintenance issue, isn't it? When you getting older that you can't do it yourself. You know, even like, you know, cleaning the windows outside, I can do it now, but you know, in the future,.",0.0,0.0,0.5,0.5,0.0
170,"And it's that balance, isn't it? between because I think one of the things that worries me about getting older and having a pension is not having enough money because I don't have resources. So if you can't do things for yourself or you have to have adaptations, you have to be able to pay for them. So if I'm on a small pension and I can't afford to pay to have things done in the house repairs or adaptations.",0.0,0.0,0.4,0.5,0.1
171,A lack of money could be a barrier.,0.0,0.0,0.0,0.0,0.0
172,"But I think there are places you can go and they'll come out and do it for you. But you own your own home. So I don't have it works that way. Yeah, but I know people like my sister. She couldn't get in the bath, no more so they came out to put  the shower in, and she's got like a toilet. Yeah. So because she can't, she's on one of those walkers now.",0.0,0.0,0.25,0.5,0.25
173,"You've got to qualify, I think. Yeah. And then social services would help you.",0.0,0.0,0.5,0.0,0.5
174,"Yeah, maybe.",0.0,0.0,0.0,0.0,0.0
175,"That's what I meant, social services.",0.0,0.0,0.0,0.0,1.0
176,All depends how much money you 've got.,0.0,0.0,0.0,0.0,0.0
177,"And how serious your condition is becauseI might feel that my situation is serious, but somebody assessing me in a very formalised way.",0.0,0.5,0.0,0.0,0.5
178,"Social services may say, Oh, we don't think that you're needy enough.",0.2,0.0,0.2,0.2,0.4
179,"Yeah, yeah, I'm going to get a stool to sit on so that I can do peeling vegetables or cooking or anything like that. If I make the bed, I have to stop because of the pain in my back, so that  can take me hours, even put a hoover around. I have to stop, sit down place my back so that can take ages. So actually, I might need a cleaner.",0.0,0.29,0.14,0.29,0.29
180,"Yeah, and that's going to cost you. You know, and you have the resources. Yeah. And then again, that's somebody coming in your home that you might not want.",0.0,0.33,0.33,0.17,0.17
181,"Yeah, yeah.",0.0,0.0,0.0,0.0,0.0
182,"And it's knowing that that help is out there as well, because you may not know that you could get help. Yeah. So it'd be nice if somebody came to see you and explained, Oh yeah, you could have this, you could have that because I'm sure a lot of think lots of older people don't claim certain things today and that they're entitled to.",0.07,0.07,0.36,0.21,0.29
183,"Yeah, yeah. And there is the pride as well, isn't it?",1.0,0.0,0.0,0.0,0.0
184,"Because my mom was the same. She didn't know she she had a pension, and that was it until she stopped going blind and social service came out, filled all these forms for her. She's getting fortune now.",0.17,0.0,0.17,0.17,0.5
185,"Yeah, but that is depending on somebody letting social services know.",0.0,0.0,0.0,0.5,0.5
186,"And my mom doesn't think that she should be entitled to it now. Well, if you're not entitled to take it off you.",0.0,0.0,0.0,0.33,0.67
187,"Yeah, yeah, yeah. Well, she's paid all her life social insurance. That's what it's for, isn't it?",0.0,0.0,0.0,0.0,1.0
188,"Yeah, yeah.",0.0,0.0,0.0,0.0,0.0
189,"I think also my house is designed for me at my health and my height and my capabilities. If any of those change, you know, I won't be able to reach the cupboards. I won't be able to get down, you know, if I were in a wheelchair or was having to use sticks to get around things that are simple now. Yeah, you know, would suddenly just be impossible to manage.",0.0,0.0,0.43,0.0,0.57
190,"So I mean, we've only got like a two story and not really high ceilings, but they're coming down the stairs. We've not got banisters because don't need banisters at the moment. And one of I actually. And we've got like one door the front door. To go out of that to get up to the main road to the path  we've about 12 steps. So again, like if I, you know, if my abilities gone. How would I get up those steps. Because you know my next door neighbour, he's got the cancer, her husband, she's got a mobility scooter now. And he took away the steps and put in a ramp. But it's like, Wow, it's a bit steep. I would say, mice, imagine, you know, going down it and disappearing down in the garden. wow..laughs",0.0,0.17,0.39,0.06,0.39
191,"So it's that, you know, all of that you think, Oh, so you like you can do all of these things now quite easily, but in years to come? Yeah, I saw those in it adapting your home to suit. Yeah.",0.0,0.0,0.5,0.25,0.25
192,"And shopping. You know, obviously, we go shopping. We take the car. If I wanted to get the bus, I would then have to maybe shop small every day because I'd have to walk back from the bus stop, which is close to the house. I wouldn't be able to carry much. And if I got a trolley, I wouldn't be able to lift the trolley onto the bus to get, you know, so I'd constantly be having to think about what do we need? What can I carry? How far do I have to carry aids? What shops can I still use?",0.29,0.0,0.14,0.0,0.57
193,"And if you're using a walking stick, you've got less.",0.0,0.0,0.0,0.0,1.0
