,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation
32,"But I was with Lloyds in Devonport. Then when I moved, I told my doctor that my prescription is going to Boots. And at the start, I had to keep ringing up, ringing up, getting prescriptions that over now Boots supply for it, for me.",0.025319075,0.0027283267,0.018602176,0.18342042,0.044430006,0.015133799,0.7076917,0.0026744618
33,"We won't now go back four years ago. You know, these are driving where we have all agreed for, you know what I need from when they need it. So, OK, OK.",0.059150442,0.009029288,0.4440926,0.08310748,0.0066227866,0.0072517386,0.3846396,0.0061060865
34,"I forgot how my Doctor looks like,.",0.004209053,0.0007262874,0.0017372671,0.7764107,0.05330793,0.14935394,0.0050173295,0.0092374915
35,"and you know, especially with the chest problem, and it's a bit of a telephone consultation. And when I say it's a consultation, a conversation because you will only be hearing huh huh down the phone ...",0.100803934,0.010977534,0.08687334,0.5951194,0.002637181,0.0025771903,0.19360991,0.007401487
36,from the phone down and you prevent even breathe.,0.0234921,0.0048478963,0.029755166,0.51163745,0.1805262,0.09003828,0.13167861,0.028024286
37,"Yeah, I do get annoyed, really, don't you all?",0.05600525,0.015436714,0.014723744,0.022132525,0.009200415,0.041346725,0.8403366,0.00081800524
38,"Yeah, it is very hard for trying to communicate concretely for people. And I think that's where you get fed up. And I think some people just give up to try to communicate with them. The next thing to get electricity, to know why you're doing this, why are you doing that? And again, people get put under pressure. Well, you know, it's it's horrible. Yeah, it's I'm quite fortunate I do get your scam calls, you know, text messages from my provider BT. And if I'm not sure I ring BT up, you know, saggy pants and stuff like that, you know so well, a lot of people don't know how to do all lot, you know?",0.039382666,0.016947556,0.15143973,0.26529735,0.0066992505,0.035100084,0.48150754,0.0036258192
39,"I read about after quite a lot of our residents doing jobs for them and things like that. It's something in my nature. I would reward myself and I used to work for, Yeah, and I still do it now. You know, that's what keeps me going mentally. You know, without all that I don't know, I'll be there enough income of our party, you know?",0.0017004121,0.00094925525,0.026703792,0.0061122174,0.0004996879,0.005787767,0.95678115,0.0014656916
40,"Yeah, that's it. Yeah.",0.0062117847,0.0029519498,0.007091111,0.19065462,0.021816632,0.36916357,0.3955374,0.0065729143
41,"to do something very plausible, the people very and I sometimes tell our residents like I've had this scam call, if you get a scam call or they're asking you to BT again, we say my payment last month hasn't gone through and they take my details. Well, I've checked my bank statement. I know that it was paid, so I didn't have to do anything else. I just blocked the numbers. But they come back with different numbers",0.0052148798,0.0006048236,0.012711285,0.882878,0.0018358312,0.014952384,0.08040221,0.0014005888
42,oh they did,0.017093142,0.026017465,0.23038745,0.13720898,0.040766798,0.36985028,0.16194743,0.016728466
43,"So it's it's never ended, and I don't think it will stop the way we're going to stop it.",0.037604816,0.0036979604,0.024477178,0.116095185,0.11719759,0.37803805,0.3072664,0.015622792
44,There is a way for these big companies don't want to.,0.0046935147,0.0010954649,0.21189846,0.0012600214,0.0029664135,0.049115445,0.7259246,0.0030460563
45,"You can't keep. Yes. Yeah. We have agreed to our place doing Taichi every Monday afternoon. I start doing it with them well, so a lot of them, our regulars, that they drifted off along with what your you can't be with the big group and this group called the Barbican legends, which there were a lot around the Barbican. They were coming in, doing this Taichi. It is very good for you.",0.033471707,0.015106352,0.20548631,0.032972172,0.026458433,0.5200625,0.1448561,0.021586457
46,"And it's a great way of being able to meet up with people. But at the moment it is not right to do. Um, I think they started it again and",0.00021826502,6.584888e-06,0.0060353656,0.9829892,0.00010052622,7.271092e-05,0.010577031,2.9482584e-07
47,"Yeah, for now we can't.",0.011099306,0.0011410096,0.024906486,0.33711815,0.04667473,0.14681976,0.42181626,0.010424318
48,"That's right. Yeah, yeah, yeah. Yeah.",0.026702132,0.009267657,0.014935197,0.2566483,0.041219354,0.36906978,0.25783587,0.024321714
49,"So if I can just just go back three spaces. Somebody mentioned television licences. Now there's no getting away from the fact that television is very important to elderly people who are confined to their own home. Yeah, now I'm 82 soon be 83, and I've got a TV licence because they stop the free ones. And this week, for example, I got a message to renew my television licence, and I haven't done so because I got so annoyed that the millions and millions of people have not even done last year's licence. And yet, so I think because it's so important that elderly people have the facility legally to watch television, it ought to be sorted out.",0.03794595,0.0005218681,0.14745156,0.74876994,0.0010298037,0.00037102992,0.06298848,0.0009213668
50,"Yeah, I get mine to be renewed every year automatically, and I don't know why, because by the people I to.",0.092164844,0.009622683,0.09373576,0.2802131,0.028421601,0.04087371,0.44478047,0.010187845
51,"I don't mind paying, but I do expect other people to expect other people to pay.",0.10932224,0.013315635,0.005895721,0.05823673,0.037482776,0.14227618,0.63093776,0.0025329918
52,"The repeat programmes, you could expect a double bill for your licence.",0.017765317,0.0016807099,0.0062067425,0.05833993,0.007234689,0.7607917,0.1290541,0.018926797
53,"Well, we'll just make one comment on digital communication. I didn't actually comment when it was discussed. I use a zoom, a great deal and sometimes that as many as 400 people can go on Zoom sessions from around the world little corners of the world had never heard of.",0.020733131,0.0025149952,0.3282232,0.40265125,0.011149248,0.007659792,0.21204236,0.015026013
54,How do I use it?,0.05072733,0.0108922,0.3537945,0.052543834,0.07214828,0.055199195,0.38731876,0.017375924
55,"I use it for groups of which I am myself a member and the worldwide groups, and I use it for church activities, which I am a member. And I also use it digitally for communicating with my children with a portal, which is a magic machine. I just make telephone calls by saying to the television, Please ring Harry and Harry's on the television.",0.058855776,0.17576993,0.28749338,0.21524489,0.037034955,0.034701124,0.16558175,0.02531819
56,"I also wondered about that one. Well, I'd probably get it for my family. Well.",0.007392422,0.0018595945,0.0499221,0.10709314,0.037221752,0.4883882,0.21367887,0.09444391
57,"So having said that, I'm not keen on it if I think about it deeply because it really does eliminate social interaction. Person to person, yes. So although I'm spot on a bit of a coward in a way, I use it. But. The back of my head says I don't really agree with this.",0.08782904,0.0071564396,0.19882125,0.21204129,0.14652422,0.021815911,0.3222462,0.0035656746
58,I would say the pope was there on a big TV screen. You can see the state that was behind the screen and completely look like you got real bad luck.,0.0063882363,0.0034507897,0.019263702,0.075793654,0.0037558372,0.025157593,0.86385953,0.0023306762
59,I only got this because one of my kids bought it for Christmas.,0.00090174435,0.00047324077,0.00094344595,0.5919159,0.19006024,0.18357697,0.02603794,0.006090517
60,Yeah.,0.0049883868,0.0050767465,0.009239294,0.4443047,0.032086007,0.32340598,0.17296685,0.007932046
61,"No, I think I said digital interaction. Um, communication is important, but there are still a lot of people that don't have that. They don't want to. You know, I'm. I got it for just over two years, and I'm still scratching the surface with it, um. People come to me and ask me. Because so wrong when we computed hello. No, but your son can work for the education services on I.T., you know? So, um, I'm more a practical person.",0.040804308,0.049519964,0.060850676,0.02442504,0.02881608,0.6400212,0.13391753,0.021645186
62,"Do you think that a lot of people think a realise that you know about self-care, that is important",0.036516123,0.020746175,0.04526181,0.03470067,0.01812178,0.016986117,0.82222813,0.0054391795
63,"same as activities, you know, even though it's essential to you. You know, I've got to have a bath. It's an activity or a shower. You know, it's an activity.",0.053123266,0.0016775416,0.3535642,0.2953902,0.00029869968,0.0001589914,0.29503408,0.0007530401
64,"People say to me, Always enjoy what you do or enjoy doing what you do. I have got saving for life, and I'm fortunate to have that. Um? Well, so, I've seen people that hasn't, you know, people",0.04765347,0.019047558,0.00653654,0.5612997,0.025361335,0.15026501,0.18918146,0.00065494626
65,"But I think the transport as a part of social interaction is vital. I mean, for example, I've got a son who's a copper in Launceston. Yeah. Now I'm going to hop on the bus right outside my door. No one from here to those tables that hop on the bus and I get off at Tesco's in Launceston, which is eight minutes for my son, he collects me in the car. Yeah, I'm just starting to get some of the best of Tesco's naturally, but",0.06975904,0.013051872,0.32725173,0.3318208,0.007769559,0.022681944,0.16989645,0.05776861
66,"then I'm fortunate I've got a car hold beloved for. I don't know what I do generally road some of the residents around to the garden centres that help yourself, you know, so I've got no taxis but waste money on taxis, you know that. So I enjoy getting out excuse to get out. And so that is important to me.",0.25017852,0.00046764486,0.13233395,0.23312122,0.01365143,0.009717918,0.35808456,0.0024447707
67,"Yes, you are.",0.017639918,0.02147304,0.023667324,0.38511097,0.031433377,0.11804345,0.3993896,0.0032423309
68,"Yeah, yeah. Is there any approximation when you crashed on the bus I worked with was comedy, a nightclub, three buses in the depot.",0.0903748,0.009823554,0.013259725,0.74007255,0.047006287,0.06166306,0.033611935,0.004188112
69,"So I burst in because the crowds in the way that I went because it felt I felt pressured to do that and put the post goes quiet because I do like to use to drive. I do reverse parking and they'll go, Oh, you know, the flashing to the side? Yeah, something out.",0.08446042,0.0017280469,0.045577016,0.05187709,0.002338026,0.069614924,0.74282694,0.0015775402
70,"I don't know his picture post. You can't, you",0.004427164,0.0023900713,0.017596863,0.009151321,0.0637164,0.083167695,0.8097885,0.009761954
71,"know, it's a self-drive 'cause people make up, they go off, right? And I had two arguments to have taxi drivers in Plymouth but I didn't hear. He started giving me a lot of, you know, doing that and I'll get off an engineering and technology made.You would think a lot about Typekit. I think more people are going to get hit by a car, but yeah,.",0.013919153,0.004708333,0.006761777,0.73954004,0.011478687,0.10140773,0.12163784,0.0005464546
72,"They are know what you're saying, but it's all about climate change and people have to suffer with climate change and not just because of climate change. Electric cars, like you said, they're very quiet. I've never stepped out looking the wrong way, but you know, you don't ever call me, you know, so there's no",0.02050975,0.0019644909,0.028227735,0.0512602,0.063199215,0.061791074,0.7724489,0.0005986623
73,"But it was a complete idiot or not. One thing I miss is my driving licence and I can't drive. And I just let it lapse, like living in France and Belgium, and I didn't need one because this is I just never one of  ...",0.061870843,0.0008359472,0.14905243,0.5372741,0.02571273,0.010713092,0.212352,0.0021888402
74,"Yeah, we're getting my driving licence back. It is not impossible that they have a point because I'm insulin dependent diabetic and had four heart bypass. I have cancer twice. They take all these medical things into account. And because you're over 80 years , You wait for years to get your driving licence, which is really going to make it hard to just renewed your degree and wouldn't have any problems in this country.",0.122947104,0.001772349,0.23852456,0.06358197,0.00585083,0.0006636963,0.5582766,0.008382914
75,"When you think of how the world's changed in the past 80 years, it's just a man. Yeah, and frightening.",0.017822511,0.0062382505,0.70036477,0.09168663,0.049147315,0.012300908,0.11353993,0.008899669
76,"see these films that come out, you know, robots.",0.006285003,0.0039527696,0.09821147,0.19032209,0.10221497,0.24154294,0.13094087,0.2265299
77,"But a very Victorian upbringing wouldn't even have electric vehicle guests if that oil lamps, no wireless or anything like that.",0.008996492,0.010225227,0.05291525,0.07366729,0.12734552,0.32025638,0.3944954,0.012098441
78,"it's kind of my generation now. You know, I mean, I can't imagine having a television since I was a toddler. But when microwave was coming you give me pause and think that now you feel like I can't give me that one?",0.018046856,0.0013800446,0.03404049,0.6269683,0.20405723,0.007953626,0.10629673,0.0012567241
79,"Well, my wife wouldn't have one she wouldn't use it to get the room microwave oven.",0.002236753,0.0074523455,0.0041727754,0.0068456973,0.05724477,0.72234815,0.1978347,0.0018647857
80,"Well, I think we read you talk about radiation and not what you think. You find that you know what's going to happen.",0.00827706,0.0032019832,0.03832814,0.03176454,0.031963687,0.5515026,0.2713855,0.063576505
81,"So I went to my well, I spent most of her time in the spinning wheel to yeah, yeah, straight on the spinning room. And she was very well as well.",0.006725582,0.0019000865,0.0075368932,0.12853938,0.0395984,0.7961002,0.015153973,0.0044455035
82,"And frankly, that was",0.013671897,0.008415621,0.07374801,0.48830825,0.058285978,0.1485615,0.19496699,0.01404176
83,"in an antique shop in the day and the end of the old toys. You know, and it's just like this spring on it and this little bobbing on it, you know, it was kids entertainment. Then, you know, and then you try and get a kid now like you one of them night that five year old knows how to use a computer about the knowledge. And it's. Oh yes. So I do have dyslexia, you know, so I struggle with things and not very retellings have to be told this is what you've got to do. Something finished telling me I've forgotten the first part. You know, so I don't know what going to be like in seventy years. I've no idea.",0.0020156775,0.0006128407,0.051641736,0.04046026,0.018457312,0.6956317,0.1601439,0.031036606
84,That that scares me. I want to run a self-drive car sitting in a car andI can't control the steering wheel which is moving along the motorway that terrifies me. I like to be in control.,0.038557377,0.009194587,0.7877752,0.12096073,0.02688104,0.0037473475,0.0065042954,0.006379409
85,"Well, we are in a way because we, you know, somebody at the front and control. You know that because that is",0.09740851,0.025246803,0.19839655,0.025111146,0.06801945,0.07459308,0.505535,0.0056894356
86,You don't know that on the docklands light rail that drives itself.,0.033942718,0.0069715297,0.014149154,0.07726963,0.03842698,0.63358206,0.18032783,0.015330116
87,"Yeah. And when you talk about planes without pilots, I mean, I won't even go on a plane anyway, you know, with the pilot",0.0832638,0.027016263,0.2844594,0.04031161,0.018840967,0.044859324,0.49385208,0.007396557
88,"If I get in the left hand drive car. Yeah. Even though I know so many drive, you know where I'll be banging my feet on the floor when you go to a break and you just instinctively think you've been driving for a long time. Yeah. And I mean, even get my car out of an adapted factory to be left for the accelerator and the brake, and for 40 years I've been driving.",0.094359875,0.0039592925,0.053224508,0.8177888,0.010261243,0.00812837,0.011003475,0.0012744312
89,It was easier than I thought.,0.0035383038,0.001934995,0.045927275,0.007848843,0.016365454,0.34527192,0.5758053,0.0033079416
90,"What I did before I got the car, I got in touch with a driving school that caters for disabled people. And when I got in the car and I said, Look, I'll be driving this in seventy nine, I said. Now the problem, do not say anything about my driving this bad. Tell me, but I don't want to be criticised, you know, because you have old habits and drive you driving your own way. And I was a bit edgy, $40 a throw, and it was only a tiny little car, you know, and I thought, I'm going to do wheelies and I brake I brake too sharp, so I have to concentrate on that. Then the car got the Nissan Qashqai sitting in there. It looks massive extra to get it. OK, now driving that for a couple of weeks, I was nervous. Is that on the road? Because trying to get out of style where I live onto the main road and I'm waiting for traffic to grow. I've got a gap and I just hit it slightly too hard. We're spending trying to get out, but now no problem.",0.0075069005,0.00051848666,0.14598556,0.6989418,0.025725808,0.0023079426,0.10561018,0.013403308
91,"Yeah, I've done that. Come up, take Pulling away the automatic changed gear.",0.09284768,0.012550047,0.33431813,0.013986883,0.20659775,0.16129102,0.16492157,0.013486918
92,"it was the first time I drove an automatic car. Not adapted. Yeah, not a standard automatic car wasn't concentrated as it pulled away before it went to the clutch. I hit the foot brake. Yeah, I mean, by the way, through the windscreen fortunate to the seatbelt umm",0.075581856,0.0025909329,0.24504858,0.14646533,0.10729146,0.0062120124,0.41492918,0.0018806434
93,"Oh, well, then you go on that. Yeah, it was just  you're naturally link stink when you're driving. In some betting. You can just get in the car. You don't think about anything. You can get and off you go, All right. And again, with all that I'm going off to Manchester in a couple of weeks. Yeah, I've never been further than IKEA Exeter and looked a bit nervous on the A38 driving fast I don't know why. I mean, there's going to be in Manchester I don't know how how many times it's just one go basically.",0.007856087,0.00010424789,0.09497583,0.23231941,0.0063671363,0.03005684,0.6236918,0.004628671
94,"Yeah, well, I've got mobility scooter that I use in town quite a lot you know, but I'll throw in the big free cash flow and.",0.014744741,0.0035477667,0.09418311,0.06638735,0.025320143,0.21868196,0.53771293,0.03942198
95,I've got an ability scooter as well. Things I don't know. I would have come on that today ...,0.03184108,0.0027357673,0.1228726,0.07461794,0.27615663,0.24826701,0.07216806,0.17134091
96,"Well, that's it. I've got daily fit to motorbike change. So when I finally managed to keep my scooter outside anyway, I'll change it off. yeah. even if it just showed a sign outside the shop that changed to that, you know? Yes, I've been very fortunate to have the ...",0.013720947,0.009403866,0.17040925,0.70974797,0.014925001,0.00767265,0.07375658,0.00036372218
97,"The other robot brought was a cat. It was a cat seating on your lap. We have to right be outside TG. This is nine to nine this is not what the carer describes it's coming back...She wanted to buy it. So she wanted to buy it. That was a hundred sixty pounds. Other robot like this you did with Astro came in and said...Well, she locked the cap and she wanted it to buy it. And she says to Hazel I've got the money here and I'll give you the money  laughs it's safe to. They give it to Eric. He can sort it...laughs",0.0074333637,0.00051510107,0.04657755,0.16743806,0.004602632,0.0010584085,0.77229804,7.683559e-05
98,"I know, a bit of a dinosaur. I'm quite frightened for the future over there. Well, I think technology has advanced far too rapidly.",0.0036147928,0.0028059243,0.75501853,0.03191448,0.034098987,0.0417766,0.12852058,0.0022501126
99,"Well, I think that's probably where a lot of people struggle with it. Either don't do that and I don't put PCH a big grade with doing the computer courses where they but there's a lot of places on the dome, but you got to pay to go and it can be very expensive. So,.",0.19806536,0.19318609,0.030494474,0.13360043,0.03619479,0.029450675,0.37533435,0.0036738089
100,"No, no. I mean, I always felt well, not always but recently the PCH felt a bit get a bit too controlling over us now. Yeah. When the rules change because of covid, we don't get told until a month after and we have a lot of us are desperate to get back to the coffee mornings and the bingo afternoon we can use the community room. We can't just use the kitchen. And I said, Well, Bring your coach down for tea and coffee, you know? And I'm borrowing a cow out in the courtyard. Oh, OK. A lot more can carry hot drinks on their own, you know, so they I got so oh, you can't do that.",0.10324092,0.016089818,0.035718,0.3919768,0.0863336,0.064900436,0.30063996,0.0011004396
101,"Yeah, right. I've got a cup holder which clips up the week and the wheelchair.",0.009430961,0.0006387633,0.00329363,0.30986738,0.020724008,0.63907963,0.009691283,0.00727435
102,"And I got it with a thermal cup. So the thermal cup  will fit in there. You can buy them. Usually Because you can adjust, you can adjust the the whole, you know, the the clip on it. Um, whether they want that, I don't know. I mean, if you was a guy, I've got thermal cups mine are that old now. No, they don't overheat that much. Um, but like you said, talking to my sister last night, she said, Well, you know, I thought if we got thermal cups then you can bring it down, a lot of them got what they call them...",0.014514138,0.00058902346,0.39429224,0.055797257,0.0048146066,0.02128713,0.5020501,0.0066554956
103,"What we're saying is, you know, like, maybe this was a sale in the courtyard. A lot of them can't bring hot drinks down. I've suggested they put the the tea and the coffee in their own cups bring it down now, Boiler Co in the courtyard. But Debbie said, No, you can't do that. Do that. I don't understand why. Well, yeah.",0.038853865,0.0008739892,0.09204404,0.6680762,0.05211384,0.010068062,0.13329804,0.0046719587
104,I've got about anybody else.,0.00066094985,6.308752e-05,0.0579575,0.08600252,0.03455715,0.029769761,0.786786,0.0042030183
105,I didn't quite understand what this door is.,0.047872897,0.030919854,0.16774681,0.008841065,0.057442706,0.40349254,0.2709086,0.012775532
106,"Yeah, I understand.",0.026521413,0.011525409,0.036966067,0.2711634,0.04780595,0.03981645,0.56085306,0.005348245
107,"answerable now like the zoom. I mean, it might be simpler than the same I've never used zoom We've used a different type of media thing to use, but weren't operating now the guy who runs our mention he was operating it sometimes successfully, sometimes not. It is technical technology challenge if you like, love it laughs. The colleague I'm talking about. Well, it's. That sort of thing, if somebody said to me, Oh, you need to get on to this, you need to get on to that. That scares me. Like you say, it does scare you technology, am I going to be using computers for about 22 years and I'm still just scratching the surface. I can do e-mails.",0.013211972,0.0072543942,0.7278004,0.064136334,0.009507536,0.034882125,0.13496947,0.008237729
108,"I don't know what it is. I think it's a fear of the unknown. And you read about all the scams. But I mean, I can do the basics. I can send the emails attachments, I can open the emails. So to me, I can do what's important to me. Um.",0.0013244007,1.6109124e-06,0.01790561,0.091947325,0.00074346364,0.00060557236,0.8874155,5.6494875e-05
109,"It does for me. You know, like I say, I use my phone to do it. I've got a laptop not used for about three years. I've got a tablet. I get a struggle on that when trying to get onto the home page I need. I used to ask a friend to bring them up, saying I'm struggling come around, he sort everything out for me. I don't see him now. and the other friend that did it. And unfortunately, she passed away. So I feel like I'm on my own now and I feel really at a loss because where I live, I'm probably one of the youngest. You know, so there are some who use the internet, but mainly for shopping or ordering food online. And that's it. No, I don't do that. You know, I'm old fashioned, so I just like to, uh. I'm happy with what I can do But there were a couple of time later on when I make stuck in the house and I need to do more on the computers and things like that, and I just don't absorb it there. I do have a problem with dyslexia, but I know what the government member is.",0.09121798,0.009629977,0.021059968,0.27459478,0.06293987,0.090668716,0.44309366,0.006795032
